TargetGene	gene_chr	gene_tss	gene_tss500bp	is_ubiquitous_uniform	P2PromoterClass
Xkr4	chr1	3741471	3741971	False	False
Rp1	chr1	4479214	4479714	False	False
Sox17	chr1	4567327	4567827	False	False
Mrpl15	chr1	4855712	4856212	True	True
Lypla1	chr1	4877761	4878261	True	True
Gm37988	chr1	4877865	4878365	False	False
Tcea1	chr1	4927787	4928287	False	True
Atp6v1h	chr1	5139991	5140491	False	True
Rgs20	chr1	5140258	5140758	False	False
Oprk1	chr1	5658466	5658966	False	False
Npbwr1	chr1	5987367	5987867	False	False
Rb1cc1	chr1	6284619	6285119	False	True
Alkal1	chr1	6429192	6429692	False	False
St18	chr1	6927315	6927815	False	False
Pcmtd1	chr1	7158894	7159394	False	True
Sntg1	chr1	9369213	9369713	False	False
Rrs1	chr1	9615383	9615883	False	True
Adhfe1	chr1	9618094	9618594	False	False
Vxn	chr1	9671174	9671674	False	False
Mybl1	chr1	9770184	9770684	False	False
Vcpip1	chr1	9818357	9818857	False	True
Sgk3	chr1	9868082	9868582	False	False
Mcmdc2	chr1	9978645	9979145	False	False
Tcf24	chr1	10037907	10038407	False	False
Ppp1r42	chr1	10055667	10056167	False	False
Cops5	chr1	10108102	10108602	True	True
Cspp1	chr1	10108192	10108692	False	True
Arfgef1	chr1	10302645	10303145	False	True
Cpa6	chr1	10789920	10790420	False	True
Prex2	chr1	11063439	11063939	False	False
A830018L16Rik	chr1	11484079	11484579	False	False
Sulf1	chr1	12762251	12762751	False	False
Slco5a1	chr1	13062624	13063124	False	False
Prdm14	chr1	13197137	13197637	False	False
Ncoa2	chr1	13442413	13442913	False	False
Tram1	chr1	13659884	13660384	True	True
Lactb2	chr1	13730520	13731020	False	True
Xkr9	chr1	13738745	13739245	False	True
Eya1	chr1	14301466	14301966	False	False
Msc	chr1	14825964	14826464	False	False
Trpa1	chr1	14988836	14989336	False	False
Kcnb2	chr1	15357228	15357728	False	False
Terf1	chr1	15875620	15876120	False	True
Sbspon	chr1	15962696	15963196	False	False
4930444P10Rik	chr1	16163299	16163799	False	False
Rpl7	chr1	16174636	16175136	False	True
Rdh10	chr1	16175748	16176248	False	False
Stau2	chr1	16590086	16590586	False	True
Ube2w	chr1	16689286	16689786	True	False
Eloc	chr1	16726858	16727358	False	True
Tmem70	chr1	16735184	16735684	False	False
Ly96	chr1	16758407	16758907	False	True
Jph1	chr1	17167863	17168363	False	False
Gdap1	chr1	17215336	17215836	False	True
Pi15	chr1	17671875	17672375	False	False
Crispld1	chr1	17797062	17797562	False	False
Crisp4	chr1	18215876	18216376	False	True
Defb18	chr1	18307417	18307917	False	False
Defb41	chr1	18335112	18335612	False	False
Tfap2d	chr1	19172996	19173496	False	False
Tfap2b	chr1	19278888	19279388	False	False
Pkhd1	chr1	20688038	20688538	False	False
Il17a	chr1	20800879	20801379	False	False
Il17f	chr1	20860591	20861091	False	False
Mcm3	chr1	20890286	20890786	False	False
Paqr8	chr1	20960580	20961080	False	False
Efhc1	chr1	21021662	21022162	False	True
Tram2	chr1	21149203	21149703	False	True
Tmem14a	chr1	21288549	21289049	False	True
Gsta3	chr1	21310563	21311063	False	False
Khdc1a	chr1	21419615	21420115	False	False
Khdc1c	chr1	21438305	21438805	False	False
Khdc1b	chr1	21453530	21454030	False	False
Kcnq5	chr1	22031916	22032416	False	False
Rims1	chr1	22844953	22845453	False	False
Ppp1r14bl	chr1	23141084	23141584	False	False
Ogfrl1	chr1	23436372	23436872	False	False
B3gat2	chr1	23800757	23801257	False	False
Smap1	chr1	23961148	23961648	True	True
Sdhaf4	chr1	24044487	24044987	False	True
Fam135a	chr1	24139025	24139525	False	True
Col9a1	chr1	24216441	24216941	False	False
Col19a1	chr1	24626303	24626803	False	False
Lmbrd1	chr1	24717491	24717991	False	False
Adgrb3	chr1	25864970	25865470	False	False
4931408C20Rik	chr1	26726291	26726791	False	False
Gm597	chr1	28819083	28819583	False	False
Phf3	chr1	30912412	30912912	False	True
Gm5698	chr1	31016799	31017299	False	False
Lgsn	chr1	31215232	31215732	False	False
4931428L18Rik	chr1	31261442	31261942	False	False
Dnaaf6rt	chr1	31261669	31262169	False	False
Gm6489	chr1	31325776	31326276	False	False
Khdrbs2	chr1	32211545	32212045	False	False
Semp2l1	chr1	32586125	32586625	False	False
Prim2	chr1	33708626	33709126	False	True
Rab23	chr1	33775488	33775988	False	False
Bag2	chr1	33796626	33797126	False	False
Zfp451	chr1	33853257	33853757	True	False
Bend6	chr1	33946647	33947147	False	False
Dst	chr1	33947056	33947556	False	True
Ccdc115	chr1	34478503	34479003	False	True
Imp4	chr1	34478682	34479182	True	False
Ptpn18	chr1	34513330	34513830	False	False
Prss39	chr1	34537241	34537741	False	False
Cfc1	chr1	34574479	34574979	False	False
Prss40	chr1	34599774	34600274	False	False
Amer3	chr1	34618488	34618988	False	False
Arhgef4	chr1	34717019	34717519	False	False
Smim39	chr1	34840625	34841125	False	False
Fam168b	chr1	34881896	34882396	True	True
Plekhb2	chr1	34888823	34889323	False	True
Hs6st1	chr1	36107231	36107731	False	False
Uggt1	chr1	36283136	36283636	True	True
Neurl3	chr1	36312266	36312766	False	True
Arid5a	chr1	36346600	36347100	False	False
Kansl3	chr1	36407988	36408488	False	True
Fer1l5	chr1	36411122	36411622	False	True
Lman2l	chr1	36484102	36484602	True	True
Cnnm4	chr1	36510451	36510951	False	False
Cnnm3	chr1	36550698	36551198	False	False
Ankrd23	chr1	36575352	36575852	False	False
Gm42417	chr1	36578189	36578689	False	False
Ankrd39	chr1	36586050	36586550	True	False
