	File accession_x	File format_x	File type_x	Output type_x	Experiment accession_x	Assay_x	Biosample term id_x	Biosample term name	Biosample type_x	Biosample organism	Library made from_x	Experiment date released_x	Project_x	Biological replicate(s)_x	Derived from_x	Size_x	Lab_x	md5sum_x	File download URL_x	Assembly_x	File Status_x	s3_uri_x	File accession_y	File format_y	File type_y	Output type_y	Experiment accession_y	Assay_y	Biosample term id_y	Biosample type_y	Experiment target_y	Library made from_y	Experiment date released_y	Project_y	Biological replicate(s)_y	Mapped read length_y	Derived from_y	Size_y	Lab_y	md5sum_y	File download URL_y	Assembly_y	File Status_y	s3_uri_y
25	ENCFF703DYP	bam	bam	alignments	ENCSR116WWW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF835AKN	2577384873	ENCODE Processing Pipeline	92aad5a396f54d1fc0f77d7c7e08ba28	https://www.encodeproject.org/files/ENCFF703DYP/@@download/ENCFF703DYP.bam	hg19	released	s3://encode-public/2017/09/19/e110511b-5142-468a-8063-9414a167750e/ENCFF703DYP.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
26	ENCFF703DYP	bam	bam	alignments	ENCSR116WWW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF835AKN	2577384873	ENCODE Processing Pipeline	92aad5a396f54d1fc0f77d7c7e08ba28	https://www.encodeproject.org/files/ENCFF703DYP/@@download/ENCFF703DYP.bam	hg19	released	s3://encode-public/2017/09/19/e110511b-5142-468a-8063-9414a167750e/ENCFF703DYP.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
29	ENCFF703DYP	bam	bam	alignments	ENCSR116WWW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF835AKN	2577384873	ENCODE Processing Pipeline	92aad5a396f54d1fc0f77d7c7e08ba28	https://www.encodeproject.org/files/ENCFF703DYP/@@download/ENCFF703DYP.bam	hg19	released	s3://encode-public/2017/09/19/e110511b-5142-468a-8063-9414a167750e/ENCFF703DYP.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
31	ENCFF703DYP	bam	bam	alignments	ENCSR116WWW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF835AKN	2577384873	ENCODE Processing Pipeline	92aad5a396f54d1fc0f77d7c7e08ba28	https://www.encodeproject.org/files/ENCFF703DYP/@@download/ENCFF703DYP.bam	hg19	released	s3://encode-public/2017/09/19/e110511b-5142-468a-8063-9414a167750e/ENCFF703DYP.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
57	ENCFF031UYH	bam	bam	alignments	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF220MWG	1697217218	ENCODE Processing Pipeline	552d7f309be6687923ff87ae503ea3c1	https://www.encodeproject.org/files/ENCFF031UYH/@@download/ENCFF031UYH.bam	hg19	released	s3://encode-public/2017/09/19/28dc4774-e284-46bc-abab-101e2b2be0d3/ENCFF031UYH.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
58	ENCFF031UYH	bam	bam	alignments	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF220MWG	1697217218	ENCODE Processing Pipeline	552d7f309be6687923ff87ae503ea3c1	https://www.encodeproject.org/files/ENCFF031UYH/@@download/ENCFF031UYH.bam	hg19	released	s3://encode-public/2017/09/19/28dc4774-e284-46bc-abab-101e2b2be0d3/ENCFF031UYH.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
61	ENCFF031UYH	bam	bam	alignments	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF220MWG	1697217218	ENCODE Processing Pipeline	552d7f309be6687923ff87ae503ea3c1	https://www.encodeproject.org/files/ENCFF031UYH/@@download/ENCFF031UYH.bam	hg19	released	s3://encode-public/2017/09/19/28dc4774-e284-46bc-abab-101e2b2be0d3/ENCFF031UYH.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
63	ENCFF031UYH	bam	bam	alignments	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF220MWG	1697217218	ENCODE Processing Pipeline	552d7f309be6687923ff87ae503ea3c1	https://www.encodeproject.org/files/ENCFF031UYH/@@download/ENCFF031UYH.bam	hg19	released	s3://encode-public/2017/09/19/28dc4774-e284-46bc-abab-101e2b2be0d3/ENCFF031UYH.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
89	ENCFF512PAT	bam	bam	alignments	ENCSR133KBX	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF121OAR	1018841377	ENCODE Processing Pipeline	814ecc20e31b5b39af7de9551ac82761	https://www.encodeproject.org/files/ENCFF512PAT/@@download/ENCFF512PAT.bam	hg19	released	s3://encode-public/2017/09/19/a043207c-4d45-4246-bf9b-1918cc0f09f6/ENCFF512PAT.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
90	ENCFF512PAT	bam	bam	alignments	ENCSR133KBX	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF121OAR	1018841377	ENCODE Processing Pipeline	814ecc20e31b5b39af7de9551ac82761	https://www.encodeproject.org/files/ENCFF512PAT/@@download/ENCFF512PAT.bam	hg19	released	s3://encode-public/2017/09/19/a043207c-4d45-4246-bf9b-1918cc0f09f6/ENCFF512PAT.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
