File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF223EKZ	bam	bam		alignments	ENCSR332MRT	DNase-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF667GMS	9273509614	ENCODE Processing Pipeline	30ac31166985cab25b02f07fe4742126		https://www.encodeproject.org/files/ENCFF223EKZ/@@download/ENCFF223EKZ.bam	hg19				archived	s3://encode-public/2017/09/19/3e71ecea-0b1d-41c0-a5fb-1ce347338006/ENCFF223EKZ.bam				
ENCFF025QEQ	bam	bam		alignments	ENCSR641ZPF	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1							ENCFF035CRF	7774236103	ENCODE Processing Pipeline	76a8e7c4670109486220e8f63b3f7627		https://www.encodeproject.org/files/ENCFF025QEQ/@@download/ENCFF025QEQ.bam	hg19				released	s3://encode-public/2017/09/14/e09564db-3994-4f82-a5d0-a716e05e7859/ENCFF025QEQ.bam				
ENCFF730QML	bam	bam		alignments	ENCSR634YVQ	DNase-seq	NTR:0000487	HK-2	cell line	Homo sapiens											DNA						2018-05-09	ENCODE				1							ENCFF637SNY, ENCFF733NCN	3308487426	ENCODE Processing Pipeline	7226086694f33b4ca4ca2dda4b798296		https://www.encodeproject.org/files/ENCFF730QML/@@download/ENCFF730QML.bam	hg19				released	s3://encode-public/2018/05/07/b8842327-d5fd-45f0-9e96-541f0b60bedd/ENCFF730QML.bam				
ENCFF704GXV	bam	bam		alignments	ENCSR080ISA	DNase-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF500UBP	5823787668	ENCODE Processing Pipeline	8f5f3c756192c67af50df927288bac0a		https://www.encodeproject.org/files/ENCFF704GXV/@@download/ENCFF704GXV.bam	hg19				released	s3://encode-public/2017/09/13/ca0002ac-aedd-43d7-ab5f-c2cc5f76ae27/ENCFF704GXV.bam				
ENCFF124CNO	bam	bam		alignments	ENCSR852TRT	DNase-seq	UBERON:0001496	ascending aorta	tissue	Homo sapiens											DNA						2017-10-02	ENCODE				1							ENCFF046HFD	7061695640	ENCODE Processing Pipeline	70331c2a2f2c309a003eb2f8c4559ee2		https://www.encodeproject.org/files/ENCFF124CNO/@@download/ENCFF124CNO.bam	hg19				archived	s3://encode-public/2017/09/19/8ba8063d-13ea-4b7e-b9b1-38d13e0c8a1f/ENCFF124CNO.bam				
ENCFF659BGV	bam	bam		alignments	ENCSR282FQX	DNase-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF352GRW	6651021979	ENCODE Processing Pipeline	a19c0ff5b9bba2879194167b1f320ea9		https://www.encodeproject.org/files/ENCFF659BGV/@@download/ENCFF659BGV.bam	hg19				archived	s3://encode-public/2017/09/19/8df1096f-18c5-4f07-8658-2d1a29a02cd2/ENCFF659BGV.bam				
ENCFF920WJT	bam	bam		alignments	ENCSR060HPL	DNase-seq	UBERON:0001621	coronary artery	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF016IVM	7062689249	ENCODE Processing Pipeline	57c9c8d6113a76e22b61bff0f5f526fd		https://www.encodeproject.org/files/ENCFF920WJT/@@download/ENCFF920WJT.bam	hg19				released	s3://encode-public/2017/09/19/910111d8-b354-4c20-98f1-137ea0918bfe/ENCFF920WJT.bam				
ENCFF049ZMZ	bam	bam		alignments	ENCSR100TUY	DNase-seq	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF641NSW	9860593748	ENCODE Processing Pipeline	39b2001fb315f96dadfe479e437249ea		https://www.encodeproject.org/files/ENCFF049ZMZ/@@download/ENCFF049ZMZ.bam	hg19				archived	s3://encode-public/2017/09/22/9b728003-5e17-418d-af07-7fc2492381e5/ENCFF049ZMZ.bam				
ENCFF022PJN	bam	bam		alignments	ENCSR164WOF	DNase-seq	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2017-10-01	ENCODE				1							ENCFF619WFG	6753568117	ENCODE Processing Pipeline	3cd686f87af09e5eb3135e4d2b077c3c		https://www.encodeproject.org/files/ENCFF022PJN/@@download/ENCFF022PJN.bam	hg19				released	s3://encode-public/2017/09/22/c83663db-09cc-48dd-8764-009593e3087f/ENCFF022PJN.bam				
ENCFF968VWA	bam	bam		alignments	ENCSR412NMI	DNase-seq	UBERON:0002079	left cardiac atrium	tissue	Homo sapiens											DNA						2017-10-23	ENCODE				1							ENCFF247JDN	3406891759	ENCODE Processing Pipeline	e239bde7f7d85b16e84db3f6c665a387		https://www.encodeproject.org/files/ENCFF968VWA/@@download/ENCFF968VWA.bam	hg19				released	s3://encode-public/2017/10/08/3b05228e-668e-4b4b-800f-881431631f0a/ENCFF968VWA.bam				
