File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001EIY	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				2							ENCFF001EJR	949831898	John Stamatoyannopoulos, UW	34afebc79b6963e44352d7ba098e164d		https://www.encodeproject.org/files/ENCFF001EIY/@@download/ENCFF001EIY.bam	hg19				archived	s3://encode-public/2011/01/11/8211c630-5e9a-453a-a451-d0000b026693/ENCFF001EIY.bam				
ENCFF001EIZ	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF001EIW, ENCFF001EIX	2684505288	John Stamatoyannopoulos, UW	ea57034e5bd25b58ddc23661d22c17aa		https://www.encodeproject.org/files/ENCFF001EIZ/@@download/ENCFF001EIZ.bam	hg19				archived	s3://encode-public/2011/01/11/fe12efdd-8ba9-48f8-ad8a-a2b8fc6d8727/ENCFF001EIZ.bam				
ENCFF976IIW	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF122TXN	2816433648	ENCODE Processing Pipeline	a2cbe4d3e179f3aa10667f7115adff19		https://www.encodeproject.org/files/ENCFF976IIW/@@download/ENCFF976IIW.bam	hg19				archived	s3://encode-public/2016/10/14/f26bd6c7-d4a9-44eb-a172-181f648cc0d2/ENCFF976IIW.bam				
ENCFF175ASE	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				2							ENCFF545UYH	999755439	ENCODE Processing Pipeline	c03b4bb954b61aeeb2e68fa2a051d754		https://www.encodeproject.org/files/ENCFF175ASE/@@download/ENCFF175ASE.bam	hg19				archived	s3://encode-public/2016/10/15/8726bb30-a219-4b36-8c56-b1793a8b482b/ENCFF175ASE.bam				
ENCFF217VVC	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				1							ENCFF634RHU	2790685544	ENCODE Processing Pipeline	9e360cc6f6e82d8011ce19766da5fc86		https://www.encodeproject.org/files/ENCFF217VVC/@@download/ENCFF217VVC.bam	hg19				released	s3://encode-public/2017/09/05/c094604d-795b-46de-9cd7-d3d33506a1c7/ENCFF217VVC.bam				
ENCFF515JEC	bam	bam		alignments	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	Homo sapiens											DNA						2012-07-23	ENCODE				2							ENCFF412JFZ	991226571	ENCODE Processing Pipeline	8d63c85bf52f16502b259199afdc1e21		https://www.encodeproject.org/files/ENCFF515JEC/@@download/ENCFF515JEC.bam	hg19				released	s3://encode-public/2017/09/05/045b1941-6b11-46d6-8205-e6eabbd5add0/ENCFF515JEC.bam				
ENCFF510UQF	bam	bam		alignments	ENCSR174GXG	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF308IRR	1305472418	ENCODE Processing Pipeline	1aeb73c9c4b81330269e68a7ccda345d		https://www.encodeproject.org/files/ENCFF510UQF/@@download/ENCFF510UQF.bam	hg19				archived	s3://encode-public/2016/11/03/14af8bb9-72ec-4f64-b591-5e0d16e67c79/ENCFF510UQF.bam				
ENCFF922HOC	bam	bam		alignments	ENCSR174GXG	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF785UFZ	1297139748	ENCODE Processing Pipeline	ae721fb491971bf0899c1017256949c2		https://www.encodeproject.org/files/ENCFF922HOC/@@download/ENCFF922HOC.bam	hg19				released	s3://encode-public/2017/09/19/42b16150-88f2-43ec-a986-ff21a978edcf/ENCFF922HOC.bam				
ENCFF024VHC	bam	bam		alignments	ENCSR263IGU	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF040WHO	1572899073	ENCODE Processing Pipeline	44b076be5a026f3ebdac28ffb9cc33d7		https://www.encodeproject.org/files/ENCFF024VHC/@@download/ENCFF024VHC.bam	hg19				archived	s3://encode-public/2016/10/30/d249133c-0d8b-4a54-a2b4-b51cca637240/ENCFF024VHC.bam				
ENCFF324KEB	bam	bam		alignments	ENCSR263IGU	DNase-seq	UBERON:0002167	right lung	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1							ENCFF666ZAT	1563716570	ENCODE Processing Pipeline	16e67e1eaa639a8da73759d0a46beedf		https://www.encodeproject.org/files/ENCFF324KEB/@@download/ENCFF324KEB.bam	hg19				released	s3://encode-public/2017/09/19/1ea70269-ceea-40c5-9a0c-8ac1ffd4dd29/ENCFF324KEB.bam				
