File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF631ADK	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF181UWR, ENCFF362ZJK, ENCFF643CGH	3228906533	ENCODE Processing Pipeline	616475a8bb2ee86941a72596ac7b5ae3		https://www.encodeproject.org/files/ENCFF631ADK/@@download/ENCFF631ADK.bam	GRCh38				released	s3://encode-public/2017/01/07/d3d6ed85-3879-4195-8d22-bc13cddf4d41/ENCFF631ADK.bam				
ENCFF256DIR	bam	bam		unfiltered alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF116SDW, ENCFF413FML, ENCFF643CGH	3601853593	ENCODE Processing Pipeline	4fea38554b5027ecca363749084ee4af		https://www.encodeproject.org/files/ENCFF256DIR/@@download/ENCFF256DIR.bam	GRCh38				released	s3://encode-public/2017/01/07/4f039c6f-5393-451c-be25-f87e5ff0506a/ENCFF256DIR.bam				
ENCFF522OBT	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF181UWR, ENCFF362ZJK, ENCFF807MUK	3225063194	ENCODE Processing Pipeline	6a1324cadfe4c5a6c0c79e90614082b0		https://www.encodeproject.org/files/ENCFF522OBT/@@download/ENCFF522OBT.bam	hg19				released	s3://encode-public/2017/01/07/bbb686d1-ee52-4cc6-90b8-ab8a83f85dad/ENCFF522OBT.bam				
ENCFF719BRJ	bam	bam		unfiltered alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF181UWR, ENCFF362ZJK, ENCFF643CGH	3788808610	ENCODE Processing Pipeline	2edd626976b90927ed93a7e65a83ffbe		https://www.encodeproject.org/files/ENCFF719BRJ/@@download/ENCFF719BRJ.bam	GRCh38				released	s3://encode-public/2017/01/07/d2721f72-5c63-40f7-8f8d-37cad543d003/ENCFF719BRJ.bam				
ENCFF369NLG	bam	bam		unfiltered alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF181UWR, ENCFF362ZJK, ENCFF807MUK	3782518311	ENCODE Processing Pipeline	156806c31fec5fc9ac27a413221a69f7		https://www.encodeproject.org/files/ENCFF369NLG/@@download/ENCFF369NLG.bam	hg19				released	s3://encode-public/2017/01/07/15733bd0-e3ed-4247-b157-6ec5d7bfc7de/ENCFF369NLG.bam				
ENCFF300RSF	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF116SDW, ENCFF413FML, ENCFF643CGH	3092746930	ENCODE Processing Pipeline	b37c80e1608521281225e9d414886e60		https://www.encodeproject.org/files/ENCFF300RSF/@@download/ENCFF300RSF.bam	GRCh38				released	s3://encode-public/2017/01/07/29cad583-fbff-4aeb-86a2-acc4dbc871db/ENCFF300RSF.bam				
ENCFF582EJV	bam	bam		unfiltered alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF116SDW, ENCFF413FML, ENCFF807MUK	3596143976	ENCODE Processing Pipeline	fba11773dc178e65deb219522d47d584		https://www.encodeproject.org/files/ENCFF582EJV/@@download/ENCFF582EJV.bam	hg19				released	s3://encode-public/2017/01/10/9bd4ec65-47f6-4cef-84c4-7943063a8858/ENCFF582EJV.bam				
ENCFF097QXR	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF116SDW, ENCFF413FML, ENCFF807MUK	3089455152	ENCODE Processing Pipeline	6f441e7fd4a39ac5bad0757ec8e80b03		https://www.encodeproject.org/files/ENCFF097QXR/@@download/ENCFF097QXR.bam	hg19				released	s3://encode-public/2017/01/10/f65f2bf7-a389-4310-a0a4-1bde27700095/ENCFF097QXR.bam				
ENCFF516HFJ	bam	bam		redacted alignments	ENCSR379WXM	ChIP-seq	NTR:0000427	neurosphere	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			76				ENCFF045BAQ, ENCFF322DZF, ENCFF643CGH	626910694	ENCODE Processing Pipeline	c4ac5b6535b5933dac5f1a6ba3d8ac95		https://www.encodeproject.org/files/ENCFF516HFJ/@@download/ENCFF516HFJ.bam	GRCh38				released	s3://encode-public/2017/11/28/cc04e0b2-09b2-4685-8c53-d164d6fd96d5/ENCFF516HFJ.bam				
ENCFF783JXK	bam	bam		redacted unfiltered alignments	ENCSR379WXM	ChIP-seq	NTR:0000427	neurosphere	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			76				ENCFF045BAQ, ENCFF322DZF, ENCFF643CGH	803697321	ENCODE Processing Pipeline	3dca3255d3b86df97047aa70018979ee		https://www.encodeproject.org/files/ENCFF783JXK/@@download/ENCFF783JXK.bam	GRCh38				released	s3://encode-public/2017/11/28/b068dea7-9485-4d3c-8021-a4fc51d95fda/ENCFF783JXK.bam				
