File accession_x	File format_x	File type_x	Output type_x	Experiment accession_x	Assay_x	Biosample term id_x	Biosample term name	Biosample type_x	Biosample organism	Library made from_x	Experiment date released_x	Project_x	Biological replicate(s)_x	Derived from_x	Size_x	Lab_x	md5sum_x	File download URL_x	Assembly_x	File Status_x	s3_uri_x	File accession_y	File format_y	File type_y	Output type_y	Experiment accession_y	Assay_y	Biosample term id_y	Biosample type_y	Experiment target_y	Library made from_y	Experiment date released_y	Project_y	Biological replicate(s)_y	Mapped read length_y	Derived from_y	Size_y	Lab_y	md5sum_y	File download URL_y	Assembly_y	File Status_y	s3_uri_y
ENCFF769FMU	bam	bam	alignments	ENCSR575VMI	DNase-seq	UBERON:0001987	placenta	tissue	Homo sapiens	DNA	2016-05-09	ENCODE	1	ENCFF551BNW	7741799501	ENCODE Processing Pipeline	c4f336690f6411ee5e9fcd1d5fef31b1	https://www.encodeproject.org/files/ENCFF769FMU/@@download/ENCFF769FMU.bam	hg19	released	s3://encode-public/2017/10/08/80bd3faf-21ab-4e5e-bd67-e98fd7396038/ENCFF769FMU.bam	ENCFF191ITJ	bam	bam	alignments	ENCSR498ZRC	ChIP-seq	UBERON:0001987	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF493XWO, ENCFF807MUK, ENCFF907YMF	851520974	ENCODE Processing Pipeline	f50730eb707f85ffd3a36c7334fdea94	https://www.encodeproject.org/files/ENCFF191ITJ/@@download/ENCFF191ITJ.bam	hg19	released	s3://encode-public/2016/12/19/ed80bdda-3c0e-409d-bdb7-60780d6ffd95/ENCFF191ITJ.bam
ENCFF200VKT	bam	bam	alignments	ENCSR575VMI	DNase-seq	UBERON:0001987	placenta	tissue	Homo sapiens	DNA	2016-05-09	ENCODE	2	ENCFF809DHL	6138552923	ENCODE Processing Pipeline	034ce6944b1f3048f3f9a2944360635e	https://www.encodeproject.org/files/ENCFF200VKT/@@download/ENCFF200VKT.bam	hg19	released	s3://encode-public/2017/10/08/fdcb9372-bb65-403f-9c09-fcb44ef1f491/ENCFF200VKT.bam	ENCFF191ITJ	bam	bam	alignments	ENCSR498ZRC	ChIP-seq	UBERON:0001987	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF493XWO, ENCFF807MUK, ENCFF907YMF	851520974	ENCODE Processing Pipeline	f50730eb707f85ffd3a36c7334fdea94	https://www.encodeproject.org/files/ENCFF191ITJ/@@download/ENCFF191ITJ.bam	hg19	released	s3://encode-public/2016/12/19/ed80bdda-3c0e-409d-bdb7-60780d6ffd95/ENCFF191ITJ.bam
ENCFF449KIC	bam	bam	alignments	ENCSR158YXM	DNase-seq	UBERON:0002107	liver	tissue	Homo sapiens	DNA	2017-11-01	ENCODE	1	ENCFF953YEZ	3707339812	ENCODE Processing Pipeline	d9d48e981c37076e156768cb37ebe803	https://www.encodeproject.org/files/ENCFF449KIC/@@download/ENCFF449KIC.bam	hg19	released	s3://encode-public/2017/09/19/8d547a27-1e80-49ca-baac-59441d5149a3/ENCFF449KIC.bam	ENCFF936OFA	bam	bam	alignments	ENCSR458RRZ	ChIP-seq	UBERON:0002107	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF007GTB, ENCFF654JFS, ENCFF807MUK	815089810	ENCODE Processing Pipeline	74a4ef92d5e3509ba2eb32344230b082	https://www.encodeproject.org/files/ENCFF936OFA/@@download/ENCFF936OFA.bam	hg19	released	s3://encode-public/2017/03/17/a68c20a0-4c3d-4c32-bbb4-16e00dfaaf1d/ENCFF936OFA.bam
ENCFF056YZX	bam	bam	alignments	ENCSR158YXM	DNase-seq	UBERON:0002107	liver	tissue	Homo sapiens	DNA	2017-11-01	ENCODE	2	ENCFF315MNK	13771461474	ENCODE Processing Pipeline	030b73160cbbe25192a0f2223cf16e04	https://www.encodeproject.org/files/ENCFF056YZX/@@download/ENCFF056YZX.bam	hg19	released	s3://encode-public/2017/09/19/004ad6ca-def0-46fa-98fc-53981b4ac6d5/ENCFF056YZX.bam	ENCFF936OFA	bam	bam	alignments	ENCSR458RRZ	ChIP-seq	UBERON:0002107	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF007GTB, ENCFF654JFS, ENCFF807MUK	815089810	ENCODE Processing Pipeline	74a4ef92d5e3509ba2eb32344230b082	https://www.encodeproject.org/files/ENCFF936OFA/@@download/ENCFF936OFA.bam	hg19	released	s3://encode-public/2017/03/17/a68c20a0-4c3d-4c32-bbb4-16e00dfaaf1d/ENCFF936OFA.bam
ENCFF172LZS	bam	bam	alignments	ENCSR000ELY	DNase-seq	EFO:0006270	AG04450	cell line	Homo sapiens	DNA	2011-05-04	ENCODE	1	ENCFF288CUH	1196865704	ENCODE Processing Pipeline	357825a59d9b94bc1db4504547802c43	https://www.encodeproject.org/files/ENCFF172LZS/@@download/ENCFF172LZS.bam	hg19	released	s3://encode-public/2017/09/05/e1c53d88-6aaa-453e-87c5-683635459b8b/ENCFF172LZS.bam	ENCFF047GDD	bam	bam	alignments	ENCSR000DPL	ChIP-seq	EFO:0006270	cell line	H3K27ac-human	DNA	2012-07-24	ENCODE	1	36.0	ENCFF001END, ENCFF001ENE, ENCFF807MUK	555660410	ENCODE Processing Pipeline	d0e01c309f23561758c9563fd5aab166	https://www.encodeproject.org/files/ENCFF047GDD/@@download/ENCFF047GDD.bam	hg19	released	s3://encode-public/2017/04/04/c428e235-4c9c-429c-ae15-1d67bc4c9586/ENCFF047GDD.bam
ENCFF138GZP	bam	bam	alignments	ENCSR000ELY	DNase-seq	EFO:0006270	AG04450	cell line	Homo sapiens	DNA	2011-05-04	ENCODE	2	ENCFF803OXM	1565214263	ENCODE Processing Pipeline	6dc8f927a6833f667554992b2b5f3aae	https://www.encodeproject.org/files/ENCFF138GZP/@@download/ENCFF138GZP.bam	hg19	released	s3://encode-public/2017/09/05/57dbd953-a663-43d0-a36e-09924183b854/ENCFF138GZP.bam	ENCFF047GDD	bam	bam	alignments	ENCSR000DPL	ChIP-seq	EFO:0006270	cell line	H3K27ac-human	DNA	2012-07-24	ENCODE	1	36.0	ENCFF001END, ENCFF001ENE, ENCFF807MUK	555660410	ENCODE Processing Pipeline	d0e01c309f23561758c9563fd5aab166	https://www.encodeproject.org/files/ENCFF047GDD/@@download/ENCFF047GDD.bam	hg19	released	s3://encode-public/2017/04/04/c428e235-4c9c-429c-ae15-1d67bc4c9586/ENCFF047GDD.bam
ENCFF704GXV	bam	bam	alignments	ENCSR080ISA	DNase-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens	DNA	2017-10-01	ENCODE	1	ENCFF500UBP	5823787668	ENCODE Processing Pipeline	8f5f3c756192c67af50df927288bac0a	https://www.encodeproject.org/files/ENCFF704GXV/@@download/ENCFF704GXV.bam	hg19	released	s3://encode-public/2017/09/13/ca0002ac-aedd-43d7-ab5f-c2cc5f76ae27/ENCFF704GXV.bam	ENCFF322LRL	bam	bam	alignments	ENCSR535GFO	ChIP-seq	UBERON:0007610	tissue	H3K27ac-human	DNA	2018-12-11	ENCODE	1	76.0	ENCFF482NDH, ENCFF489IJG, ENCFF807MUK	1278310897	ENCODE Processing Pipeline	878ee0593182b167e84eee04c04a9194	https://www.encodeproject.org/files/ENCFF322LRL/@@download/ENCFF322LRL.bam	hg19	released	s3://encode-public/2018/06/13/c52faee7-8caf-423b-ada8-a3ed873eff16/ENCFF322LRL.bam
ENCFF704GXV	bam	bam	alignments	ENCSR080ISA	DNase-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens	DNA	2017-10-01	ENCODE	1	ENCFF500UBP	5823787668	ENCODE Processing Pipeline	8f5f3c756192c67af50df927288bac0a	https://www.encodeproject.org/files/ENCFF704GXV/@@download/ENCFF704GXV.bam	hg19	released	s3://encode-public/2017/09/13/ca0002ac-aedd-43d7-ab5f-c2cc5f76ae27/ENCFF704GXV.bam	ENCFF203OKU	bam	bam	alignments	ENCSR535GFO	ChIP-seq	UBERON:0007610	tissue	H3K27ac-human	DNA	2018-12-11	ENCODE	2	76.0	ENCFF068FUW, ENCFF147IPQ, ENCFF807MUK	3547297019	ENCODE Processing Pipeline	5d0fdacbdea211b3fc09b430cf3561e0	https://www.encodeproject.org/files/ENCFF203OKU/@@download/ENCFF203OKU.bam	hg19	released	s3://encode-public/2018/06/13/6398f9d6-5cba-4e8c-9d98-021d688beff7/ENCFF203OKU.bam
ENCFF604OIM	bam	bam	alignments	ENCSR000EJV	DNase-seq	EFO:0001187	HepG2	cell line	Homo sapiens	DNA	2012-03-28	ENCODE	1	ENCFF220QHB, ENCFF457JKS, ENCFF563QJH	1700656952	ENCODE Processing Pipeline	6ca8758e4cacdd99c38df9d0825ff7da	https://www.encodeproject.org/files/ENCFF604OIM/@@download/ENCFF604OIM.bam	hg19	released	s3://encode-public/2017/10/03/4de8eff0-5400-4ab6-a511-368f08a74acf/ENCFF604OIM.bam	ENCFF638JUP	bam	bam	alignments	ENCSR000AMO	ChIP-seq	EFO:0001187	cell line	H3K27ac-human	DNA	2011-02-10	ENCODE	1	36.0	ENCFF000BFD, ENCFF807MUK	196529676	ENCODE Processing Pipeline	9dfbc4455bff23f6bb5397344c2d4e01	https://www.encodeproject.org/files/ENCFF638JUP/@@download/ENCFF638JUP.bam	hg19	released	s3://encode-public/2017/02/13/76b0bc5e-584b-4468-aa0f-08e493d9193b/ENCFF638JUP.bam
ENCFF604OIM	bam	bam	alignments	ENCSR000EJV	DNase-seq	EFO:0001187	HepG2	cell line	Homo sapiens	DNA	2012-03-28	ENCODE	1	ENCFF220QHB, ENCFF457JKS, ENCFF563QJH	1700656952	ENCODE Processing Pipeline	6ca8758e4cacdd99c38df9d0825ff7da	https://www.encodeproject.org/files/ENCFF604OIM/@@download/ENCFF604OIM.bam	hg19	released	s3://encode-public/2017/10/03/4de8eff0-5400-4ab6-a511-368f08a74acf/ENCFF604OIM.bam	ENCFF208LPX	bam	bam	alignments	ENCSR000AMO	ChIP-seq	EFO:0001187	cell line	H3K27ac-human	DNA	2011-02-10	ENCODE	2	36.0	ENCFF000BFH, ENCFF807MUK	276241082	ENCODE Processing Pipeline	d2a4208c0b80883844f5db57057eb9c1	https://www.encodeproject.org/files/ENCFF208LPX/@@download/ENCFF208LPX.bam	hg19	released	s3://encode-public/2017/02/13/6a3f330c-cd27-4671-a2df-f9c7e5bb25e7/ENCFF208LPX.bam
