File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF465RQO	bam	bam		unfiltered alignments	ENCSR000AKP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				1							ENCFF000BXH, ENCFF643CGH	1009832543	ENCODE Processing Pipeline	2e7e5b56ba227fdb41d464905ea4f2dc		https://www.encodeproject.org/files/ENCFF465RQO/@@download/ENCFF465RQO.bam	GRCh38				released	s3://encode-public/2016/07/28/833cd05c-0eb2-47bf-9fb5-0506f95f5908/ENCFF465RQO.bam				
ENCFF301TVL	bam	bam		alignments	ENCSR000AKP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				1							ENCFF000BXH, ENCFF643CGH	415189390	ENCODE Processing Pipeline	7b6edb53e2dc5da110d1741ad68c4772		https://www.encodeproject.org/files/ENCFF301TVL/@@download/ENCFF301TVL.bam	GRCh38				released	s3://encode-public/2016/07/28/dd8e34ac-9135-46e8-af04-025c7136a53a/ENCFF301TVL.bam				
ENCFF755BDE	bam	bam		unfiltered alignments	ENCSR000AKP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				2							ENCFF000BXG, ENCFF643CGH	625275742	ENCODE Processing Pipeline	1b13ecb31073c3562b9a63b4f30a0fea		https://www.encodeproject.org/files/ENCFF755BDE/@@download/ENCFF755BDE.bam	GRCh38				released	s3://encode-public/2016/07/28/94701085-675a-420a-9f7f-7685a0c9fa64/ENCFF755BDE.bam				
ENCFF879BWC	bam	bam		alignments	ENCSR000AKP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE				2							ENCFF000BXG, ENCFF643CGH	190765529	ENCODE Processing Pipeline	7a3e7e868890a6fcef6433a8b69be40c		https://www.encodeproject.org/files/ENCFF879BWC/@@download/ENCFF879BWC.bam	GRCh38				released	s3://encode-public/2016/07/28/2e85692b-c3df-48d8-998b-e043c6034195/ENCFF879BWC.bam				
ENCFF023RDA	bam	bam		unfiltered alignments	ENCSR440PMP	ChIP-seq	UBERON:0001211	Peyer's patch	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1			76				ENCFF175WPU, ENCFF239FZM, ENCFF394NHL, ENCFF481NMX, ENCFF643CGH	3279566774	ENCODE Processing Pipeline	2cc02dd31faf9071e4b4de339c814629		https://www.encodeproject.org/files/ENCFF023RDA/@@download/ENCFF023RDA.bam	GRCh38				released	s3://encode-public/2019/06/12/fb3df9be-7d60-490f-9b9f-05228ca92452/ENCFF023RDA.bam				
ENCFF671REY	bam	bam		alignments	ENCSR440PMP	ChIP-seq	UBERON:0001211	Peyer's patch	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1			76				ENCFF175WPU, ENCFF239FZM, ENCFF394NHL, ENCFF481NMX, ENCFF643CGH	2709166639	ENCODE Processing Pipeline	bbb97f51358bd54b498e17118b678f09		https://www.encodeproject.org/files/ENCFF671REY/@@download/ENCFF671REY.bam	GRCh38				released	s3://encode-public/2019/06/12/859ac09a-1b22-4732-a1c3-2fe6d3c0f8cd/ENCFF671REY.bam				
ENCFF935XPX	bam	bam		unfiltered alignments	ENCSR316LNO	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				2			76				ENCFF099PUQ, ENCFF272AFL, ENCFF488NZH, ENCFF643CGH, ENCFF969RFG	2510747744	ENCODE Processing Pipeline	21151a7fc6cec0b54a732f6fbd8e80fc		https://www.encodeproject.org/files/ENCFF935XPX/@@download/ENCFF935XPX.bam	GRCh38				released	s3://encode-public/2019/06/12/78a6bf26-53bb-4e34-9f73-bc607b5d9517/ENCFF935XPX.bam				
ENCFF974WDU	bam	bam		alignments	ENCSR316LNO	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				2			76				ENCFF099PUQ, ENCFF272AFL, ENCFF488NZH, ENCFF643CGH, ENCFF969RFG	2087524309	ENCODE Processing Pipeline	a73ecac06dbb8848718870ff703b4e77		https://www.encodeproject.org/files/ENCFF974WDU/@@download/ENCFF974WDU.bam	GRCh38				released	s3://encode-public/2019/06/12/625bdc53-d0eb-4480-8ae9-e38c860c8fd2/ENCFF974WDU.bam				
ENCFF675OGM	bam	bam		unfiltered alignments	ENCSR316LNO	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1			76				ENCFF024KFQ, ENCFF065THC, ENCFF585IMU, ENCFF643CGH, ENCFF839BLY, ENCFF878STL, ENCFF917VAP	3025016420	ENCODE Processing Pipeline	3c7aea79ca4464b8f797ad920a67fd03		https://www.encodeproject.org/files/ENCFF675OGM/@@download/ENCFF675OGM.bam	GRCh38				released	s3://encode-public/2019/06/12/b5ebd2eb-642d-418a-9ea6-a4a548921961/ENCFF675OGM.bam				
ENCFF950DQE	bam	bam		alignments	ENCSR316LNO	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE				1			76				ENCFF024KFQ, ENCFF065THC, ENCFF585IMU, ENCFF643CGH, ENCFF839BLY, ENCFF878STL, ENCFF917VAP	2328781441	ENCODE Processing Pipeline	2fd07e855ec4f4986e478858d4d901a9		https://www.encodeproject.org/files/ENCFF950DQE/@@download/ENCFF950DQE.bam	GRCh38				released	s3://encode-public/2019/06/12/df4a06b9-6d68-498e-9ac9-b9adf7c96290/ENCFF950DQE.bam				
ENCFF555VMR	bam	bam		redacted unfiltered alignments	ENCSR105EMQ	ChIP-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF643CGH, ENCFF882NUN	203821582	ENCODE Processing Pipeline	60b4b4bf48965a01f5d04071ae5effbf		https://www.encodeproject.org/files/ENCFF555VMR/@@download/ENCFF555VMR.bam	GRCh38				released	s3://encode-public/2017/11/09/66f19e6b-544c-49d1-9118-95d19f3f8433/ENCFF555VMR.bam				
