File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF586QWC	bam	bam		redacted unfiltered alignments	ENCSR526RGE	ChIP-seq	NTR:0003013	placental basal plate	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF077YQD, ENCFF643CGH, ENCFF744CAZ	446575812	ENCODE Processing Pipeline	1c272a100b50dc99eee41952fa667405		https://www.encodeproject.org/files/ENCFF586QWC/@@download/ENCFF586QWC.bam	GRCh38				released	s3://encode-public/2017/11/09/065378fd-6b9d-4969-9773-54f050e603c9/ENCFF586QWC.bam				
ENCFF661XKE	bam	bam		redacted alignments	ENCSR526RGE	ChIP-seq	NTR:0003013	placental basal plate	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF077YQD, ENCFF643CGH, ENCFF744CAZ	262427061	ENCODE Processing Pipeline	03a02f9c7d3ae1653d10261838af4dd8		https://www.encodeproject.org/files/ENCFF661XKE/@@download/ENCFF661XKE.bam	GRCh38				released	s3://encode-public/2017/11/09/d7a702a5-9ffc-41c6-b8ba-db3a8d18a1b4/ENCFF661XKE.bam				
ENCFF112ZTO	bam	bam		redacted unfiltered alignments	ENCSR526RGE	ChIP-seq	NTR:0003013	placental basal plate	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF077YQD, ENCFF744CAZ, ENCFF807MUK	444256761	ENCODE Processing Pipeline	f0f5fd216f01b9e562af9d556915cf74		https://www.encodeproject.org/files/ENCFF112ZTO/@@download/ENCFF112ZTO.bam	hg19				released	s3://encode-public/2018/01/20/58a8a421-d66b-45e1-ac84-e7216f56328a/ENCFF112ZTO.bam				
ENCFF747FHR	bam	bam		redacted alignments	ENCSR526RGE	ChIP-seq	NTR:0003013	placental basal plate	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF077YQD, ENCFF744CAZ, ENCFF807MUK	262451167	ENCODE Processing Pipeline	1538856d42c56d697a5984ba761cca8e		https://www.encodeproject.org/files/ENCFF747FHR/@@download/ENCFF747FHR.bam	hg19				released	s3://encode-public/2018/01/20/3c085f9e-72fd-43b1-9516-8bcc5afe9d06/ENCFF747FHR.bam				
ENCFF555VMR	bam	bam		redacted unfiltered alignments	ENCSR105EMQ	ChIP-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF643CGH, ENCFF882NUN	203821582	ENCODE Processing Pipeline	60b4b4bf48965a01f5d04071ae5effbf		https://www.encodeproject.org/files/ENCFF555VMR/@@download/ENCFF555VMR.bam	GRCh38				released	s3://encode-public/2017/11/09/66f19e6b-544c-49d1-9118-95d19f3f8433/ENCFF555VMR.bam				
ENCFF350ISY	bam	bam		redacted alignments	ENCSR105EMQ	ChIP-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF643CGH, ENCFF882NUN	151015424	ENCODE Processing Pipeline	0e5966103a947dcc205b819ed98771ea		https://www.encodeproject.org/files/ENCFF350ISY/@@download/ENCFF350ISY.bam	GRCh38				released	s3://encode-public/2017/11/09/cfedb65d-676b-4ea3-9292-19104cd225e7/ENCFF350ISY.bam				
ENCFF249WVS	bam	bam		redacted alignments	ENCSR105EMQ	ChIP-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF807MUK, ENCFF882NUN	150850627	ENCODE Processing Pipeline	1c55ab84b796d8ad1a430f2fba42bc56		https://www.encodeproject.org/files/ENCFF249WVS/@@download/ENCFF249WVS.bam	hg19				released	s3://encode-public/2018/01/20/3fdeae62-2fee-42bd-bd38-426957c0c0b6/ENCFF249WVS.bam				
ENCFF209BPD	bam	bam		redacted unfiltered alignments	ENCSR105EMQ	ChIP-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF807MUK, ENCFF882NUN	200853919	ENCODE Processing Pipeline	bb12a1de95a035f7e714efa3854aa4b5		https://www.encodeproject.org/files/ENCFF209BPD/@@download/ENCFF209BPD.bam	hg19				released	s3://encode-public/2018/01/20/af5c437b-645c-4b6c-9267-f72b16b180bf/ENCFF209BPD.bam				
ENCFF417VBD	bam	bam		redacted alignments	ENCSR507SRD	ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF643CGH, ENCFF675ENR	252104431	ENCODE Processing Pipeline	cbceffca1d2e91899bf2b1937d967f93		https://www.encodeproject.org/files/ENCFF417VBD/@@download/ENCFF417VBD.bam	GRCh38				released	s3://encode-public/2017/11/09/53206ff6-4a3b-43e6-a6c8-9d49ab155b0d/ENCFF417VBD.bam				
ENCFF999TJQ	bam	bam		redacted unfiltered alignments	ENCSR507SRD	ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF643CGH, ENCFF675ENR	295130996	ENCODE Processing Pipeline	3a7715e3e6fc843bef9116517a57edbf		https://www.encodeproject.org/files/ENCFF999TJQ/@@download/ENCFF999TJQ.bam	GRCh38				released	s3://encode-public/2017/11/09/6470dd5c-36b2-4ce1-9673-f285a9be735b/ENCFF999TJQ.bam				
ENCFF451JOO	bam	bam		redacted alignments	ENCSR507SRD	ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF675ENR, ENCFF807MUK	252256716	ENCODE Processing Pipeline	416e03ea6130ea32f2aa2b9c014b056b		https://www.encodeproject.org/files/ENCFF451JOO/@@download/ENCFF451JOO.bam	hg19				released	s3://encode-public/2018/01/20/817f256e-8534-4334-beab-0e3a6e5592b6/ENCFF451JOO.bam				
ENCFF552YRT	bam	bam		redacted unfiltered alignments	ENCSR507SRD	ChIP-seq	UBERON:0000088	trophoblast	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF675ENR, ENCFF807MUK	293782246	ENCODE Processing Pipeline	ab1252a39fbc52ccc45999c3deae3b5d		https://www.encodeproject.org/files/ENCFF552YRT/@@download/ENCFF552YRT.bam	hg19				released	s3://encode-public/2018/01/20/d0c28229-f414-4663-8e15-c967e084b080/ENCFF552YRT.bam				
ENCFF157EKH	bam	bam		unfiltered alignments	ENCSR645SYH	ChIP-seq	UBERON:0001043	esophagus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			50				ENCFF807MUK, ENCFF972UCE	1435871684	ENCODE Processing Pipeline	a23fcdb07f181b3d34ec75457d1e81ca		https://www.encodeproject.org/files/ENCFF157EKH/@@download/ENCFF157EKH.bam	hg19				released	s3://encode-public/2017/03/27/af28c07e-057f-4806-9622-952ba97d4526/ENCFF157EKH.bam				
ENCFF125LBW	bam	bam		unfiltered alignments	ENCSR645SYH	ChIP-seq	UBERON:0001043	esophagus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			50				ENCFF643CGH, ENCFF972UCE	1436832994	ENCODE Processing Pipeline	e1121c260121a34134e08c02f32dd34c		https://www.encodeproject.org/files/ENCFF125LBW/@@download/ENCFF125LBW.bam	GRCh38				released	s3://encode-public/2017/03/27/1875c285-c049-45eb-bb7c-254f902d09a8/ENCFF125LBW.bam				
ENCFF166HVM	bam	bam		alignments	ENCSR645SYH	ChIP-seq	UBERON:0001043	esophagus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			50				ENCFF643CGH, ENCFF972UCE	800898965	ENCODE Processing Pipeline	1976fbf46de266204ad75b482254fc1a		https://www.encodeproject.org/files/ENCFF166HVM/@@download/ENCFF166HVM.bam	GRCh38				released	s3://encode-public/2017/03/27/bbd226e5-1fa9-422e-89fe-0053ac5a9947/ENCFF166HVM.bam				
ENCFF330IRI	bam	bam		alignments	ENCSR645SYH	ChIP-seq	UBERON:0001043	esophagus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			50				ENCFF807MUK, ENCFF972UCE	801417971	ENCODE Processing Pipeline	37c16c11ff252e9360d37c52fc700185		https://www.encodeproject.org/files/ENCFF330IRI/@@download/ENCFF330IRI.bam	hg19				released	s3://encode-public/2017/03/27/ddbeadbe-8f3e-415d-a299-87fa955fbfc7/ENCFF330IRI.bam				
ENCFF334FYH	bam	bam		unfiltered alignments	ENCSR069UMW	ChIP-seq	UBERON:0001496	ascending aorta	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1			76				ENCFF121LEM, ENCFF643CGH, ENCFF757QLQ	1713168925	ENCODE Processing Pipeline	17002f3c43ab1d19fe4eb5ab038c8fdd		https://www.encodeproject.org/files/ENCFF334FYH/@@download/ENCFF334FYH.bam	GRCh38				released	s3://encode-public/2016/10/31/d085dbd7-8f1c-4dff-b5a2-e6976ed98d7c/ENCFF334FYH.bam				
ENCFF396TWI	bam	bam		unfiltered alignments	ENCSR069UMW	ChIP-seq	UBERON:0001496	ascending aorta	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1			76				ENCFF121LEM, ENCFF757QLQ, ENCFF807MUK	1711657471	ENCODE Processing Pipeline	ba5a31a4b94a963f6bf3adfc4aed7dfd		https://www.encodeproject.org/files/ENCFF396TWI/@@download/ENCFF396TWI.bam	hg19				released	s3://encode-public/2016/10/31/b92aa372-36bc-48a9-bb9b-bbed63880399/ENCFF396TWI.bam				
ENCFF918LIT	bam	bam		alignments	ENCSR069UMW	ChIP-seq	UBERON:0001496	ascending aorta	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1			76				ENCFF121LEM, ENCFF757QLQ, ENCFF807MUK	1375871139	ENCODE Processing Pipeline	f45cccb5c933a6482c2af16c75466554		https://www.encodeproject.org/files/ENCFF918LIT/@@download/ENCFF918LIT.bam	hg19				released	s3://encode-public/2016/10/31/174b5582-5eb9-44f3-9c7b-9c2eab79f8e6/ENCFF918LIT.bam				
ENCFF128VGR	bam	bam		alignments	ENCSR069UMW	ChIP-seq	UBERON:0001496	ascending aorta	tissue	Homo sapiens										H3K27ac-human	DNA						2016-11-03	ENCODE				1			76				ENCFF121LEM, ENCFF643CGH, ENCFF757QLQ	1376213155	ENCODE Processing Pipeline	28c59c6ecf2b97196f71576c8bf16114		https://www.encodeproject.org/files/ENCFF128VGR/@@download/ENCFF128VGR.bam	GRCh38				released	s3://encode-public/2016/10/31/4f57467d-68db-410a-804c-144574e0fd7c/ENCFF128VGR.bam				
ENCFF312BWH	bam	bam		redacted unfiltered alignments	ENCSR891XGQ	ChIP-seq	UBERON:0002686	angular gyrus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF159FXE, ENCFF566NIE, ENCFF643CGH	415672555	ENCODE Processing Pipeline	b274e703717b38cfff6b5cf25f4fe53c		https://www.encodeproject.org/files/ENCFF312BWH/@@download/ENCFF312BWH.bam	GRCh38				released	s3://encode-public/2018/01/23/b6e1e0e5-1682-40a5-aa0d-106aae7d5ee7/ENCFF312BWH.bam				
ENCFF334MEF	bam	bam		redacted alignments	ENCSR891XGQ	ChIP-seq	UBERON:0002686	angular gyrus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF159FXE, ENCFF566NIE, ENCFF643CGH	254658434	ENCODE Processing Pipeline	8854cb62176848775b0ec501ca5e9eb1		https://www.encodeproject.org/files/ENCFF334MEF/@@download/ENCFF334MEF.bam	GRCh38				released	s3://encode-public/2018/01/23/681d35d2-f1f9-4584-b5bc-6557453dad25/ENCFF334MEF.bam				
ENCFF255KSH	bam	bam		redacted unfiltered alignments	ENCSR891XGQ	ChIP-seq	UBERON:0002686	angular gyrus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF159FXE, ENCFF566NIE, ENCFF807MUK	413702724	ENCODE Processing Pipeline	d49246f7e5eab8e2b7d1e559d7936ba6		https://www.encodeproject.org/files/ENCFF255KSH/@@download/ENCFF255KSH.bam	hg19				released	s3://encode-public/2018/01/23/dd04eda1-7c9f-4ab1-8248-f3a37df9df2e/ENCFF255KSH.bam				
ENCFF519BFV	bam	bam		redacted alignments	ENCSR891XGQ	ChIP-seq	UBERON:0002686	angular gyrus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF159FXE, ENCFF566NIE, ENCFF807MUK	254794425	ENCODE Processing Pipeline	70fc8d2e8eebf5cdbbcb573117f5f3a8		https://www.encodeproject.org/files/ENCFF519BFV/@@download/ENCFF519BFV.bam	hg19				released	s3://encode-public/2018/01/23/8919b36e-c08b-4849-97c8-28670cb3d518/ENCFF519BFV.bam				
ENCFF604YZV	bam	bam		redacted unfiltered alignments	ENCSR606WJA	ChIP-seq	UBERON:0007106	chorionic villus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF289DQZ, ENCFF448KEE, ENCFF643CGH	442557379	ENCODE Processing Pipeline	5dd13d110ba4e230c627dd8a1d93c9af		https://www.encodeproject.org/files/ENCFF604YZV/@@download/ENCFF604YZV.bam	GRCh38				released	s3://encode-public/2017/11/09/326c7c6f-a1bd-4c28-ab6a-91ee2fe54cd6/ENCFF604YZV.bam				
ENCFF516IZQ	bam	bam		redacted alignments	ENCSR606WJA	ChIP-seq	UBERON:0007106	chorionic villus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF289DQZ, ENCFF448KEE, ENCFF643CGH	293124364	ENCODE Processing Pipeline	deb4216b256d3b5921833e5ca0843321		https://www.encodeproject.org/files/ENCFF516IZQ/@@download/ENCFF516IZQ.bam	GRCh38				released	s3://encode-public/2017/11/09/dcd2742e-ffa6-4d90-be51-c65176a683b7/ENCFF516IZQ.bam				
ENCFF741OPV	bam	bam		redacted unfiltered alignments	ENCSR606WJA	ChIP-seq	UBERON:0007106	chorionic villus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF289DQZ, ENCFF448KEE, ENCFF807MUK	439982245	ENCODE Processing Pipeline	0bb037fa59330599f9580abbafa26f40		https://www.encodeproject.org/files/ENCFF741OPV/@@download/ENCFF741OPV.bam	hg19				released	s3://encode-public/2018/01/20/d55a6cd4-ead3-4f52-9a2a-c359e4d1565e/ENCFF741OPV.bam				
ENCFF140DDC	bam	bam		redacted alignments	ENCSR606WJA	ChIP-seq	UBERON:0007106	chorionic villus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			75				ENCFF289DQZ, ENCFF448KEE, ENCFF807MUK	293120172	ENCODE Processing Pipeline	e1590bf902fc6e63b73a197aaceb9e41		https://www.encodeproject.org/files/ENCFF140DDC/@@download/ENCFF140DDC.bam	hg19				released	s3://encode-public/2018/01/20/a5d3eb46-890b-48e5-bc48-73cb594d2b3a/ENCFF140DDC.bam				
ENCFF095HPN	bam	bam		redacted unfiltered alignments	ENCSR494MDB	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF114WZC, ENCFF187DMK, ENCFF538UQH, ENCFF643CGH	297184762	ENCODE Processing Pipeline	c9a1eafd141032020b3a10ca7e986388		https://www.encodeproject.org/files/ENCFF095HPN/@@download/ENCFF095HPN.bam	GRCh38				released	s3://encode-public/2017/10/16/5de0533d-7c1d-4282-95c2-9137db021a13/ENCFF095HPN.bam				
ENCFF043ISW	bam	bam		redacted alignments	ENCSR494MDB	ChIP-seq	UBERON:0001873	caudate nucleus	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1			36				ENCFF114WZC, ENCFF187DMK, ENCFF538UQH, ENCFF643CGH	187771395	ENCODE Processing Pipeline	fdf99508f40d06e29bbdd2d140212307		https://www.encodeproject.org/files/ENCFF043ISW/@@download/ENCFF043ISW.bam	GRCh38				released	s3://encode-public/2017/10/16/4d09f29e-08ab-46fb-85c6-97d70aad0611/ENCFF043ISW.bam				
