Assay_x	Assay_y	Assembly_x	Assembly_y	Biological replicate(s)_x	Biological replicate(s)_y	Biosample organism	Biosample term id_x	Biosample term id_y	Biosample term name	Biosample type_x	Biosample type_y	Derived from_x	Derived from_y	Experiment accession_x	Experiment accession_y	Experiment date released_x	Experiment date released_y	Experiment target_y	File Status_x	File Status_y	File accession_x	File accession_y	File download URL_x	File download URL_y	File format_x	File format_y	File type_x	File type_y	Lab_x	Lab_y	Library made from_x	Library made from_y	Mapped read length_y	Output type_x	Output type_y	Project_x	Project_y	Size_x	Size_y	md5sum_x	md5sum_y	s3_uri_x	s3_uri_y
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	UBERON:0001987	UBERON:0001987	placenta	tissue	tissue	ENCFF551BNW	ENCFF493XWO, ENCFF807MUK, ENCFF907YMF	ENCSR575VMI	ENCSR498ZRC	2016-05-09	2013-07-31	H3K27ac-human	released	released	ENCFF769FMU	ENCFF191ITJ	https://www.encodeproject.org/files/ENCFF769FMU/@@download/ENCFF769FMU.bam	https://www.encodeproject.org/files/ENCFF191ITJ/@@download/ENCFF191ITJ.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	Roadmap	7741799501	851520974	c4f336690f6411ee5e9fcd1d5fef31b1	f50730eb707f85ffd3a36c7334fdea94	s3://encode-public/2017/10/08/80bd3faf-21ab-4e5e-bd67-e98fd7396038/ENCFF769FMU.bam	s3://encode-public/2016/12/19/ed80bdda-3c0e-409d-bdb7-60780d6ffd95/ENCFF191ITJ.bam
DNase-seq	ChIP-seq	hg19	hg19	2	1	Homo sapiens	UBERON:0001987	UBERON:0001987	placenta	tissue	tissue	ENCFF809DHL	ENCFF493XWO, ENCFF807MUK, ENCFF907YMF	ENCSR575VMI	ENCSR498ZRC	2016-05-09	2013-07-31	H3K27ac-human	released	released	ENCFF200VKT	ENCFF191ITJ	https://www.encodeproject.org/files/ENCFF200VKT/@@download/ENCFF200VKT.bam	https://www.encodeproject.org/files/ENCFF191ITJ/@@download/ENCFF191ITJ.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	Roadmap	6138552923	851520974	034ce6944b1f3048f3f9a2944360635e	f50730eb707f85ffd3a36c7334fdea94	s3://encode-public/2017/10/08/fdcb9372-bb65-403f-9c09-fcb44ef1f491/ENCFF200VKT.bam	s3://encode-public/2016/12/19/ed80bdda-3c0e-409d-bdb7-60780d6ffd95/ENCFF191ITJ.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	UBERON:0002107	UBERON:0002107	liver	tissue	tissue	ENCFF953YEZ	ENCFF007GTB, ENCFF654JFS, ENCFF807MUK	ENCSR158YXM	ENCSR458RRZ	2017-11-01	2013-07-31	H3K27ac-human	released	released	ENCFF449KIC	ENCFF936OFA	https://www.encodeproject.org/files/ENCFF449KIC/@@download/ENCFF449KIC.bam	https://www.encodeproject.org/files/ENCFF936OFA/@@download/ENCFF936OFA.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	Roadmap	3707339812	815089810	d9d48e981c37076e156768cb37ebe803	74a4ef92d5e3509ba2eb32344230b082	s3://encode-public/2017/09/19/8d547a27-1e80-49ca-baac-59441d5149a3/ENCFF449KIC.bam	s3://encode-public/2017/03/17/a68c20a0-4c3d-4c32-bbb4-16e00dfaaf1d/ENCFF936OFA.bam
DNase-seq	ChIP-seq	hg19	hg19	2	1	Homo sapiens	UBERON:0002107	UBERON:0002107	liver	tissue	tissue	ENCFF315MNK	ENCFF007GTB, ENCFF654JFS, ENCFF807MUK	ENCSR158YXM	ENCSR458RRZ	2017-11-01	2013-07-31	H3K27ac-human	released	released	ENCFF056YZX	ENCFF936OFA	https://www.encodeproject.org/files/ENCFF056YZX/@@download/ENCFF056YZX.bam	https://www.encodeproject.org/files/ENCFF936OFA/@@download/ENCFF936OFA.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	Roadmap	13771461474	815089810	030b73160cbbe25192a0f2223cf16e04	74a4ef92d5e3509ba2eb32344230b082	s3://encode-public/2017/09/19/004ad6ca-def0-46fa-98fc-53981b4ac6d5/ENCFF056YZX.bam	s3://encode-public/2017/03/17/a68c20a0-4c3d-4c32-bbb4-16e00dfaaf1d/ENCFF936OFA.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	EFO:0006270	EFO:0006270	AG04450	cell line	cell line	ENCFF288CUH	ENCFF001END, ENCFF001ENE, ENCFF807MUK	ENCSR000ELY	ENCSR000DPL	2011-05-04	2012-07-24	H3K27ac-human	released	released	ENCFF172LZS	ENCFF047GDD	https://www.encodeproject.org/files/ENCFF172LZS/@@download/ENCFF172LZS.bam	https://www.encodeproject.org/files/ENCFF047GDD/@@download/ENCFF047GDD.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	1196865704	555660410	357825a59d9b94bc1db4504547802c43	d0e01c309f23561758c9563fd5aab166	s3://encode-public/2017/09/05/e1c53d88-6aaa-453e-87c5-683635459b8b/ENCFF172LZS.bam	s3://encode-public/2017/04/04/c428e235-4c9c-429c-ae15-1d67bc4c9586/ENCFF047GDD.bam
DNase-seq	ChIP-seq	hg19	hg19	2	1	Homo sapiens	EFO:0006270	EFO:0006270	AG04450	cell line	cell line	ENCFF803OXM	ENCFF001END, ENCFF001ENE, ENCFF807MUK	ENCSR000ELY	ENCSR000DPL	2011-05-04	2012-07-24	H3K27ac-human	released	released	ENCFF138GZP	ENCFF047GDD	https://www.encodeproject.org/files/ENCFF138GZP/@@download/ENCFF138GZP.bam	https://www.encodeproject.org/files/ENCFF047GDD/@@download/ENCFF047GDD.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	1565214263	555660410	6dc8f927a6833f667554992b2b5f3aae	d0e01c309f23561758c9563fd5aab166	s3://encode-public/2017/09/05/57dbd953-a663-43d0-a36e-09924183b854/ENCFF138GZP.bam	s3://encode-public/2017/04/04/c428e235-4c9c-429c-ae15-1d67bc4c9586/ENCFF047GDD.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	UBERON:0007610	UBERON:0007610	tibial artery	tissue	tissue	ENCFF500UBP	ENCFF482NDH, ENCFF489IJG, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	H3K27ac-human	released	released	ENCFF704GXV	ENCFF322LRL	https://www.encodeproject.org/files/ENCFF704GXV/@@download/ENCFF704GXV.bam	https://www.encodeproject.org/files/ENCFF322LRL/@@download/ENCFF322LRL.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	ENCODE	ENCODE	5823787668	1278310897	8f5f3c756192c67af50df927288bac0a	878ee0593182b167e84eee04c04a9194	s3://encode-public/2017/09/13/ca0002ac-aedd-43d7-ab5f-c2cc5f76ae27/ENCFF704GXV.bam	s3://encode-public/2018/06/13/c52faee7-8caf-423b-ada8-a3ed873eff16/ENCFF322LRL.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	UBERON:0007610	UBERON:0007610	tibial artery	tissue	tissue	ENCFF500UBP	ENCFF068FUW, ENCFF147IPQ, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	H3K27ac-human	released	released	ENCFF704GXV	ENCFF203OKU	https://www.encodeproject.org/files/ENCFF704GXV/@@download/ENCFF704GXV.bam	https://www.encodeproject.org/files/ENCFF203OKU/@@download/ENCFF203OKU.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	ENCODE	ENCODE	5823787668	3547297019	8f5f3c756192c67af50df927288bac0a	5d0fdacbdea211b3fc09b430cf3561e0	s3://encode-public/2017/09/13/ca0002ac-aedd-43d7-ab5f-c2cc5f76ae27/ENCFF704GXV.bam	s3://encode-public/2018/06/13/6398f9d6-5cba-4e8c-9d98-021d688beff7/ENCFF203OKU.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	EFO:0001187	EFO:0001187	HepG2	cell line	cell line	ENCFF220QHB, ENCFF457JKS, ENCFF563QJH	ENCFF000BFD, ENCFF807MUK	ENCSR000EJV	ENCSR000AMO	2012-03-28	2011-02-10	H3K27ac-human	released	released	ENCFF604OIM	ENCFF638JUP	https://www.encodeproject.org/files/ENCFF604OIM/@@download/ENCFF604OIM.bam	https://www.encodeproject.org/files/ENCFF638JUP/@@download/ENCFF638JUP.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	1700656952	196529676	6ca8758e4cacdd99c38df9d0825ff7da	9dfbc4455bff23f6bb5397344c2d4e01	s3://encode-public/2017/10/03/4de8eff0-5400-4ab6-a511-368f08a74acf/ENCFF604OIM.bam	s3://encode-public/2017/02/13/76b0bc5e-584b-4468-aa0f-08e493d9193b/ENCFF638JUP.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	EFO:0001187	EFO:0001187	HepG2	cell line	cell line	ENCFF220QHB, ENCFF457JKS, ENCFF563QJH	ENCFF000BFH, ENCFF807MUK	ENCSR000EJV	ENCSR000AMO	2012-03-28	2011-02-10	H3K27ac-human	released	released	ENCFF604OIM	ENCFF208LPX	https://www.encodeproject.org/files/ENCFF604OIM/@@download/ENCFF604OIM.bam	https://www.encodeproject.org/files/ENCFF208LPX/@@download/ENCFF208LPX.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	1700656952	276241082	6ca8758e4cacdd99c38df9d0825ff7da	d2a4208c0b80883844f5db57057eb9c1	s3://encode-public/2017/10/03/4de8eff0-5400-4ab6-a511-368f08a74acf/ENCFF604OIM.bam	s3://encode-public/2017/02/13/6a3f330c-cd27-4671-a2df-f9c7e5bb25e7/ENCFF208LPX.bam
