File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF175QJB	bam	bam		unfiltered alignments	ENCSR052AWE	DNase-seq	EFO:0002074	PC-3	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF128BDD, ENCFF343UMW, ENCFF404SFQ, ENCFF496RSW, ENCFF662RNT, ENCFF736IUT, ENCFF786REP	19220657664	ENCODE Processing Pipeline	fdfa2c08330d237236bd4eabcd70399a		https://www.encodeproject.org/files/ENCFF175QJB/@@download/ENCFF175QJB.bam	GRCh38				released	s3://encode-public/2017/08/24/95240b0c-38f7-413d-9760-7ea9e63f6510/ENCFF175QJB.bam				
ENCFF813ZLS	bam	bam		unfiltered alignments	ENCSR052AWE	DNase-seq	EFO:0002074	PC-3	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF136VBY, ENCFF221WIP, ENCFF303UIF, ENCFF373TKW, ENCFF404SRU, ENCFF496RSW, ENCFF882KXF	21028862989	ENCODE Processing Pipeline	836723d90e956c0e6f7e4275d2fbb3dd		https://www.encodeproject.org/files/ENCFF813ZLS/@@download/ENCFF813ZLS.bam	GRCh38				released	s3://encode-public/2017/08/24/bb433b93-01d2-4d14-8b10-1b63c64951f6/ENCFF813ZLS.bam				
ENCFF743EZY	bam	bam		alignments	ENCSR052AWE	DNase-seq	EFO:0002074	PC-3	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF175QJB	16120100561	ENCODE Processing Pipeline	f3f5a865850e40c13f432c39bcc23233		https://www.encodeproject.org/files/ENCFF743EZY/@@download/ENCFF743EZY.bam	GRCh38				released	s3://encode-public/2017/08/24/ed85de69-3c87-4923-b697-5f513eb2b08a/ENCFF743EZY.bam				
ENCFF787PNI	bam	bam		alignments	ENCSR052AWE	DNase-seq	EFO:0002074	PC-3	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF813ZLS	17503041311	ENCODE Processing Pipeline	0f6162bad38a47cef97d83a741463398		https://www.encodeproject.org/files/ENCFF787PNI/@@download/ENCFF787PNI.bam	GRCh38				released	s3://encode-public/2017/08/24/0fe20018-d088-4d5f-a2b2-6f6735425c91/ENCFF787PNI.bam				
ENCFF353HRL	bam	bam		alignments	ENCSR224FOA	DNase-seq	NTR:0001484	islet precursor cell	in vitro differentiated cells	Homo sapiens											DNA						2018-01-11	ENCODE				2							ENCFF585NNI	13057522101	ENCODE Processing Pipeline	06531330001ff51f1f47f74320eda0da		https://www.encodeproject.org/files/ENCFF353HRL/@@download/ENCFF353HRL.bam	GRCh38				released	s3://encode-public/2017/11/28/7c09babd-c3e6-4563-8e8b-0058f97d5d0e/ENCFF353HRL.bam				
ENCFF585NNI	bam	bam		unfiltered alignments	ENCSR224FOA	DNase-seq	NTR:0001484	islet precursor cell	in vitro differentiated cells	Homo sapiens											DNA						2018-01-11	ENCODE				2							ENCFF317QVU, ENCFF452CDX, ENCFF496RSW, ENCFF784QHR, ENCFF891TEY	16233127259	ENCODE Processing Pipeline	588011388c2f66f1f2f407a12b3c0f4b		https://www.encodeproject.org/files/ENCFF585NNI/@@download/ENCFF585NNI.bam	GRCh38				released	s3://encode-public/2017/11/28/4a6cbb0f-ad30-4ab1-9ea7-277572e4856b/ENCFF585NNI.bam				
ENCFF896LGO	bam	bam		unfiltered alignments	ENCSR265TEK	DNase-seq	EFO:0002285	NCI-H226	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF496RSW, ENCFF515EHI, ENCFF580HFA, ENCFF679POH, ENCFF828LWX, ENCFF881CKI, ENCFF941ABD	9508387019	ENCODE Processing Pipeline	f38639956eedf11fd5a9d5498393a716		https://www.encodeproject.org/files/ENCFF896LGO/@@download/ENCFF896LGO.bam	GRCh38				released	s3://encode-public/2017/08/24/6656a88e-25dc-4c18-a631-f1ae66ec2429/ENCFF896LGO.bam				
ENCFF556DVK	bam	bam		unfiltered alignments	ENCSR265TEK	DNase-seq	EFO:0002285	NCI-H226	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF354FLD, ENCFF435GUD, ENCFF477YSI, ENCFF496RSW, ENCFF519YPM	10579898658	ENCODE Processing Pipeline	2800c4e4e235e620e9852cb28c6e48cc		https://www.encodeproject.org/files/ENCFF556DVK/@@download/ENCFF556DVK.bam	GRCh38				released	s3://encode-public/2017/08/24/27a26e82-150d-4156-90ee-9ebdb95180df/ENCFF556DVK.bam				
ENCFF041JRP	bam	bam		alignments	ENCSR265TEK	DNase-seq	EFO:0002285	NCI-H226	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF896LGO	5967687523	ENCODE Processing Pipeline	a598cc93a5f99f2540135862e73457fc		https://www.encodeproject.org/files/ENCFF041JRP/@@download/ENCFF041JRP.bam	GRCh38				released	s3://encode-public/2017/08/24/415809e8-58a6-4345-8bbe-a50d7b9f1083/ENCFF041JRP.bam				
ENCFF634JKR	bam	bam		alignments	ENCSR265TEK	DNase-seq	EFO:0002285	NCI-H226	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF556DVK	7241234449	ENCODE Processing Pipeline	c1ea106491e1be5b8639bcf5176727cf		https://www.encodeproject.org/files/ENCFF634JKR/@@download/ENCFF634JKR.bam	GRCh38				released	s3://encode-public/2017/08/24/374776c3-b626-4acf-80fb-e33bc24e239c/ENCFF634JKR.bam				
