File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF522OBT	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF181UWR, ENCFF362ZJK, ENCFF807MUK	3225063194	ENCODE Processing Pipeline	6a1324cadfe4c5a6c0c79e90614082b0		https://www.encodeproject.org/files/ENCFF522OBT/@@download/ENCFF522OBT.bam	hg19				released	s3://encode-public/2017/01/07/bbb686d1-ee52-4cc6-90b8-ab8a83f85dad/ENCFF522OBT.bam				
ENCFF097QXR	bam	bam		alignments	ENCSR637ISS	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	5.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF116SDW, ENCFF413FML, ENCFF807MUK	3089455152	ENCODE Processing Pipeline	6f441e7fd4a39ac5bad0757ec8e80b03		https://www.encodeproject.org/files/ENCFF097QXR/@@download/ENCFF097QXR.bam	hg19				released	s3://encode-public/2017/01/10/f65f2bf7-a389-4310-a0a4-1bde27700095/ENCFF097QXR.bam				
ENCFF087MEP	bam	bam		alignments	ENCSR203KEU	ChIP-seq	EFO:0002323	RWPE1	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-03	ENCODE				1			100				ENCFF054HVM, ENCFF807MUK, ENCFF950OXW	7759706770	ENCODE Processing Pipeline	1cfc7fe98a4a084ab307693d06733ef4		https://www.encodeproject.org/files/ENCFF087MEP/@@download/ENCFF087MEP.bam	hg19				released	s3://encode-public/2017/03/01/59bb991a-40d2-4516-9f0f-758c268fe46e/ENCFF087MEP.bam				
ENCFF762JOI	bam	bam		alignments	ENCSR203KEU	ChIP-seq	EFO:0002323	RWPE1	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-03	ENCODE				2			100				ENCFF666GAH, ENCFF807MUK, ENCFF925HTP	8107216973	ENCODE Processing Pipeline	6686955abca030208c7ba334b63eab9e		https://www.encodeproject.org/files/ENCFF762JOI/@@download/ENCFF762JOI.bam	hg19				released	s3://encode-public/2017/03/01/43bc33bf-0521-4cb7-b111-3c2f9a5adc79/ENCFF762JOI.bam				
ENCFF024RZN	bam	bam		alignments	ENCSR709ABP	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF426MBY, ENCFF807MUK, ENCFF980VYO	2818689005	ENCODE Processing Pipeline	5868cec7bc7e99323ba8bc63b54ada04		https://www.encodeproject.org/files/ENCFF024RZN/@@download/ENCFF024RZN.bam	hg19				released	s3://encode-public/2017/01/07/1aef60de-0a37-4ce7-96e9-cccf18212ad6/ENCFF024RZN.bam				
ENCFF182LGU	bam	bam		alignments	ENCSR709ABP	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day							H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF068PYY, ENCFF605KXF, ENCFF807MUK	3414726870	ENCODE Processing Pipeline	6c43aa58b3b9058dd71c456b702a8dce		https://www.encodeproject.org/files/ENCFF182LGU/@@download/ENCFF182LGU.bam	hg19				released	s3://encode-public/2017/01/07/d3cb1bc3-106d-4d52-af1c-860ef669dfe2/ENCFF182LGU.bam				
ENCFF486QUP	bam	bam		alignments	ENCSR279KIX	ChIP-seq	EFO:0006365	C4-2B	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-16	ENCODE				1			100				ENCFF098LPP, ENCFF226MBW, ENCFF807MUK	4187575809	ENCODE Processing Pipeline	789350d2f73ef3e7f41578de94c88579		https://www.encodeproject.org/files/ENCFF486QUP/@@download/ENCFF486QUP.bam	hg19				released	s3://encode-public/2017/03/04/948fa509-d46e-48a0-9057-e1741ad15804/ENCFF486QUP.bam				
ENCFF457FYG	bam	bam		alignments	ENCSR279KIX	ChIP-seq	EFO:0006365	C4-2B	cell line	Homo sapiens										H3K27ac-human	DNA						2017-03-16	ENCODE				2			100				ENCFF306IVP, ENCFF807MUK, ENCFF962GKC	7152242256	ENCODE Processing Pipeline	c02cf4d76eee599792ba0ba28a8ab242		https://www.encodeproject.org/files/ENCFF457FYG/@@download/ENCFF457FYG.bam	hg19				released	s3://encode-public/2017/03/04/61250ade-37ec-412b-b440-549e66b86cf7/ENCFF457FYG.bam				
ENCFF578BRF	bam	bam		alignments	ENCSR736ZEG	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				1			101				ENCFF097WZJ, ENCFF807MUK, ENCFF995BBI	3082418918	ENCODE Processing Pipeline	54f5b74e761faa85b3fc401bbcc6fa99		https://www.encodeproject.org/files/ENCFF578BRF/@@download/ENCFF578BRF.bam	hg19				released	s3://encode-public/2017/01/07/26e987a0-cac3-48e4-8d35-16b569c5f411/ENCFF578BRF.bam				
ENCFF456WCA	bam	bam		alignments	ENCSR736ZEG	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens										H3K27ac-human	DNA				formaldehyde		2017-10-10	GGR				2			101				ENCFF587OAI, ENCFF807MUK, ENCFF918BDP	3419824975	ENCODE Processing Pipeline	84bba84d6545c7a388ed6f5160e4c6ea		https://www.encodeproject.org/files/ENCFF456WCA/@@download/ENCFF456WCA.bam	hg19				released	s3://encode-public/2017/01/07/e1138e36-cb2c-47ee-a5db-bca75ff5f785/ENCFF456WCA.bam				
