File accession	File format	File type	File format type	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF048TUD	bam	bam		unfiltered alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF300VMN, ENCFF455ZDQ, ENCFF496RSW, ENCFF612PGM	2676353761	ENCODE Processing Pipeline	7d483630ab1097f05a221042740b5490		https://www.encodeproject.org/files/ENCFF048TUD/@@download/ENCFF048TUD.bam	GRCh38				released	s3://encode-public/2016/10/31/f5692a67-3ed2-40b1-aeb0-1e6695bc7d1d/ENCFF048TUD.bam				
ENCFF884XON	bam	bam		unfiltered alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF201CUZ, ENCFF496RSW	311251148	ENCODE Processing Pipeline	0126eb63eb2d35ca8f98c416331f0c0c		https://www.encodeproject.org/files/ENCFF884XON/@@download/ENCFF884XON.bam	GRCh38				released	s3://encode-public/2016/10/31/9887de62-ced0-4932-9786-9e8d319eaef4/ENCFF884XON.bam				
ENCFF512GTF	bam	bam		unfiltered alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF068EUR, ENCFF488OQD, ENCFF496RSW, ENCFF701YRV, ENCFF704IOQ, ENCFF854AFM, ENCFF955WAH	16638402597	ENCODE Processing Pipeline	34f1d578d333fe900050ae9c93c4ed9c		https://www.encodeproject.org/files/ENCFF512GTF/@@download/ENCFF512GTF.bam	GRCh38				released	s3://encode-public/2017/08/24/2b7e13d9-3a57-41d4-870f-551e16789f7c/ENCFF512GTF.bam				
ENCFF393OFO	bam	bam		unfiltered alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF046VSV, ENCFF085GMH, ENCFF228QBA, ENCFF496RSW, ENCFF912MSY	12692185546	ENCODE Processing Pipeline	63a47063b35485906460905069f74423		https://www.encodeproject.org/files/ENCFF393OFO/@@download/ENCFF393OFO.bam	GRCh38				released	s3://encode-public/2017/08/24/ac612f65-073e-41bd-81ff-5bac22a3620e/ENCFF393OFO.bam				
ENCFF795WNZ	bam	bam		alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				1							ENCFF048TUD, ENCFF512GTF	16287302852	ENCODE Processing Pipeline	9f4b305c31fbcfa2c46301742d6be12a		https://www.encodeproject.org/files/ENCFF795WNZ/@@download/ENCFF795WNZ.bam	GRCh38				released	s3://encode-public/2017/08/24/1f5703d2-1293-4517-af1a-0e0f0e04136f/ENCFF795WNZ.bam				
ENCFF542SSH	bam	bam		alignments	ENCSR662HMO	DNase-seq	EFO:0002246	NAMALWA	cell line	Homo sapiens											DNA						2015-11-05	ENCODE				2							ENCFF393OFO, ENCFF884XON	10978698842	ENCODE Processing Pipeline	1293b8356aa6be1dd5b32f4fcf9131ca		https://www.encodeproject.org/files/ENCFF542SSH/@@download/ENCFF542SSH.bam	GRCh38				released	s3://encode-public/2017/08/24/fdc84633-f7ac-4bf8-9b36-0a88951796e3/ENCFF542SSH.bam				
ENCFF514OLS	bam	bam		unfiltered alignments	ENCSR000ELQ	DNase-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens											DNA						2012-08-28	ENCODE				1							ENCFF000TEO, ENCFF496RSW	5895478924	ENCODE Processing Pipeline	972598d33cd6d0222df49dd7b3d61661		https://www.encodeproject.org/files/ENCFF514OLS/@@download/ENCFF514OLS.bam	GRCh38				released	s3://encode-public/2016/10/25/01975d76-23b2-478e-85a6-cc5cbe1f3103/ENCFF514OLS.bam				
ENCFF775TLC	bam	bam		unfiltered alignments	ENCSR000ELQ	DNase-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens											DNA						2012-08-28	ENCODE				1							ENCFF000TEP, ENCFF496RSW	5418179213	ENCODE Processing Pipeline	6f0e483450b90f02d9573cb90319911a		https://www.encodeproject.org/files/ENCFF775TLC/@@download/ENCFF775TLC.bam	GRCh38				released	s3://encode-public/2016/10/25/9ca91d11-7d9e-4013-be98-02f8f1f43d3e/ENCFF775TLC.bam				
ENCFF562RWH	bam	bam		unfiltered alignments	ENCSR000ELR	DNase-seq	CL:0000632	hepatic stellate cell	primary cell	Homo sapiens											DNA						2011-04-19	ENCODE				1							ENCFF000TEL, ENCFF496RSW	1659692886	ENCODE Processing Pipeline	1fc9add20a06c783c061a4a1c83cfe11		https://www.encodeproject.org/files/ENCFF562RWH/@@download/ENCFF562RWH.bam	GRCh38				released	s3://encode-public/2016/10/25/8405208d-7380-4716-8846-8752d6898476/ENCFF562RWH.bam				
ENCFF229FZC	bam	bam		unfiltered alignments	ENCSR000ELR	DNase-seq	CL:0000632	hepatic stellate cell	primary cell	Homo sapiens											DNA						2011-04-19	ENCODE				1							ENCFF000TEQ, ENCFF496RSW	2892633662	ENCODE Processing Pipeline	9050580b11ea830054fa0b66fd7fa2b3		https://www.encodeproject.org/files/ENCFF229FZC/@@download/ENCFF229FZC.bam	GRCh38				released	s3://encode-public/2016/10/25/bc426921-b391-4c36-b257-6e6ad22882d1/ENCFF229FZC.bam				
