Assay_Accessibility	Assay_H3K27ac	Assembly	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit INTERNAL_ACTION_Accessibility	Audit INTERNAL_ACTION_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_H3K27ac	File assembly_Accessibility	File assembly_H3K27ac	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Lab_Accessibility	Lab_H3K27ac	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate_Accessibility	Technical replicate_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0001187	EFO:0001187	HepG2	0.0	0.0	0.0	cell line	cell line	released	released	ENCFF000SQR, ENCFF549HLL	ENCFF000BFD, ENCFF807MUK	ENCSR000EJV	ENCSR000AMO	2012-03-28	2011-02-10	0.0	H3K27ac-human	s3://encode-public/2017/10/03/0ac0c879-74ff-4c09-9fca-ca85469cd8e1/ENCFF563QJH.bam	s3://encode-public/2017/02/13/2e251dd8-e504-43c3-9be0-6db601e86213/ENCFF928HIT.bam	ENCFF563QJH	ENCFF928HIT	hg19	hg19	https://www.encodeproject.org/files/ENCFF563QJH/@@download/ENCFF563QJH.bam	https://www.encodeproject.org/files/ENCFF928HIT/@@download/ENCFF928HIT.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	20.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	646701378	278856271	0.0	0.0	0.0	0.0	b65a97286f6ed031dbc08ec514919c2e	965578d05fc56d2205f32595cd0e3a78	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0000996	UBERON:0000996	vagina	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF037EMJ, ENCFF077XIC, ENCFF318BSP, ENCFF396RPE, ENCFF409DZC, ENCFF423XZE, ENCFF549HLL	ENCFF319FBJ, ENCFF334PZB, ENCFF399BJW, ENCFF501VAD, ENCFF807MUK	ENCSR437AYW	ENCSR346FVK	2017-10-01	2019-08-09	0.0	H3K27ac-human	s3://encode-public/2017/09/19/cfb25adf-73b2-47e1-b4a4-acf7e5cc18cc/ENCFF446TOY.bam	s3://encode-public/2018/11/27/1e0ad7d6-48fe-4441-a09d-1d370375458d/ENCFF184VUP.bam	ENCFF446TOY	ENCFF184VUP	hg19	hg19	https://www.encodeproject.org/files/ENCFF446TOY/@@download/ENCFF446TOY.bam	https://www.encodeproject.org/files/ENCFF184VUP/@@download/ENCFF184VUP.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	paired-ended	single-ended	9906073198	1950985138	0.0	0.0	0.0	0.0	1e29337bd3d7278b011e86abc3254ee3	fe2141219be7811ae8102371935cfd87	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000625	CL:0000625	CD8-positive, alpha-beta T cell	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF092XFB, ENCFF119QNS, ENCFF362KIJ, ENCFF370BGP, ENCFF549HLL, ENCFF594XVT, ENCFF899BSP	ENCFF807MUK, ENCFF915ZPV, ENCFF941MDI	ENCSR020LUD	ENCSR007HLH	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/12/06/3c2957f4-67ec-4728-a4d6-ef43b4fcfbb0/ENCFF207TVB.bam	s3://encode-public/2016/12/19/0d588e2e-cd3e-49ec-8054-0716e0244eb0/ENCFF201JLG.bam	ENCFF207TVB	ENCFF201JLG	hg19	hg19	https://www.encodeproject.org/files/ENCFF207TVB/@@download/ENCFF207TVB.bam	https://www.encodeproject.org/files/ENCFF201JLG/@@download/ENCFF201JLG.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	101.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	45216744087	2068628939	0.0	0.0	0.0	0.0	a67694c0f1ee4729d86bc2a4e221549f	a2a52072a128217605d329b0da6cd618	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002323	EFO:0002323	RWPE1	0.0	0.0	0.0	cell line	cell line	released	released	ENCFF000TDW, ENCFF549HLL	ENCFF666GAH, ENCFF807MUK, ENCFF925HTP	ENCSR000ELP	ENCSR203KEU	2012-03-28	2017-03-03	0.0	H3K27ac-human	s3://encode-public/2017/10/05/91b1e948-5fdf-4e95-800c-03f661acec6e/ENCFF295RHS.bam	s3://encode-public/2017/03/01/a054d559-c4db-4c13-9ed0-2d72bb0d9a04/ENCFF623XOH.bam	ENCFF295RHS	ENCFF623XOH	hg19	hg19	https://www.encodeproject.org/files/ENCFF295RHS/@@download/ENCFF295RHS.bam	https://www.encodeproject.org/files/ENCFF623XOH/@@download/ENCFF623XOH.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	100.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	paired-ended	3444896181	10559213584	0.0	0.0	0.0	0.0	fc6d87e788fc3e27036bcfc9bcc46187	6231bee61ecbb4df09a6d9036f9a87c6	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0002369	UBERON:0002369	adrenal gland	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF149EPY, ENCFF414WFK, ENCFF529NSR, ENCFF549HLL, ENCFF564QHA, ENCFF702FIW, ENCFF916IPH, ENCFF934GEX	ENCFF215HBL, ENCFF807MUK	ENCSR728BAD	ENCSR177QFY	2013-07-31	2016-10-24	0.0	H3K27ac-human	s3://encode-public/2017/09/19/e682e6fc-7b22-42ec-b551-0e4de2c8fc36/ENCFF510OHP.bam	s3://encode-public/2016/10/26/93b36371-39e0-4100-85e4-f0ed6d378257/ENCFF975XPS.bam	ENCFF510OHP	ENCFF975XPS	hg19	hg19	https://www.encodeproject.org/files/ENCFF510OHP/@@download/ENCFF510OHP.bam	https://www.encodeproject.org/files/ENCFF975XPS/@@download/ENCFF975XPS.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1591170559	1683840318	0.0	0.0	0.0	0.0	b29c6f1523483dc3ce65f7d673033988	a6683807a787ce1ad0ae607a094c8fb9	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000236	CL:0000236	B cell	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF064WNA, ENCFF549HLL, ENCFF666GUI	ENCFF807MUK, ENCFF861JPC, ENCFF995OBQ	ENCSR247IUJ	ENCSR191ZQT	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/09/19/f7ec8e40-d057-4787-9d2e-c628a53479f4/ENCFF846VKR.bam	s3://encode-public/2016/12/19/34a28679-7734-4a1d-8281-81c983ea7b41/ENCFF297FHV.bam	ENCFF846VKR	ENCFF297FHV	hg19	hg19	https://www.encodeproject.org/files/ENCFF846VKR/@@download/ENCFF846VKR.bam	https://www.encodeproject.org/files/ENCFF297FHV/@@download/ENCFF297FHV.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	1541538243	1688773765	0.0	0.0	0.0	0.0	8e32428c532c088ac1f18f430c6a1e1d	cf848ee689a7d5d8a6f695b9348fc2dd	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000236	CL:0000236	B cell	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF001CQF, ENCFF001CQG, ENCFF549HLL	ENCFF807MUK, ENCFF861JPC, ENCFF995OBQ	ENCSR000EMJ	ENCSR191ZQT	2011-10-19	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2018/05/07/39c72e72-8127-4a80-81b3-1cef26df9740/ENCFF413KZU.bam	s3://encode-public/2016/12/19/34a28679-7734-4a1d-8281-81c983ea7b41/ENCFF297FHV.bam	ENCFF413KZU	ENCFF297FHV	hg19	hg19	https://www.encodeproject.org/files/ENCFF413KZU/@@download/ENCFF413KZU.bam	https://www.encodeproject.org/files/ENCFF297FHV/@@download/ENCFF297FHV.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	1797777080	1688773765	0.0	0.0	0.0	0.0	f4449fac5195465575703565c13d044c	cf848ee689a7d5d8a6f695b9348fc2dd	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0002048	UBERON:0002048	lung	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF015ZRR, ENCFF017AWK, ENCFF549HLL	ENCFF807MUK, ENCFF906WKZ	ENCSR006IJP	ENCSR550WUX	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/09/19/3024c3f4-8149-4bb7-8aeb-32d58a3217ba/ENCFF487QPZ.bam	s3://encode-public/2017/05/10/226d7cc6-b0e2-4a10-ba76-dfb23f2980f8/ENCFF966VFW.bam	ENCFF487QPZ	ENCFF966VFW	hg19	hg19	https://www.encodeproject.org/files/ENCFF487QPZ/@@download/ENCFF487QPZ.bam	https://www.encodeproject.org/files/ENCFF966VFW/@@download/ENCFF966VFW.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	50.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	1892952359	772851262	0.0	0.0	0.0	0.0	caa780636f00a575d48dca1fac4ba73c	e5cd9806d5c2c749b585cf9098d87287	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0002048	UBERON:0002048	lung	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF549HLL, ENCFF664GEI	ENCFF807MUK, ENCFF906WKZ	ENCSR627NIF	ENCSR550WUX	2015-08-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2018/05/07/fc2fafea-723d-4a36-bd40-3e8f5f8b594c/ENCFF935ALQ.bam	s3://encode-public/2017/05/10/226d7cc6-b0e2-4a10-ba76-dfb23f2980f8/ENCFF966VFW.bam	ENCFF935ALQ	ENCFF966VFW	hg19	hg19	https://www.encodeproject.org/files/ENCFF935ALQ/@@download/ENCFF935ALQ.bam	https://www.encodeproject.org/files/ENCFF966VFW/@@download/ENCFF966VFW.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	50.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	248464053	772851262	0.0	0.0	0.0	0.0	8f448ad3e39bab9fdf0b3c6ad0292c67	e5cd9806d5c2c749b585cf9098d87287	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	NTR:0000856	NTR:0000856	mesendoderm	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	released	released	ENCFF549HLL, ENCFF955SLG, ENCFF978QGB	ENCFF807MUK, ENCFF826BHT	ENCSR714DIF	ENCSR473PNT	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2018/05/07/5a4c3027-d244-4200-aca1-3626d1182435/ENCFF940VYO.bam	s3://encode-public/2016/12/19/8ec098b5-5098-4c93-a0e0-f6ddd2d711ba/ENCFF891DYF.bam	ENCFF940VYO	ENCFF891DYF	hg19	hg19	https://www.encodeproject.org/files/ENCFF940VYO/@@download/ENCFF940VYO.bam	https://www.encodeproject.org/files/ENCFF891DYF/@@download/ENCFF891DYF.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	1443008562	980642763	0.0	0.0	0.0	0.0	a1edb5cd793be495b39f18401da9614c	7fe0c1cf25556479eb661ef6f52f96df	0.0	0.0
