TargetGene	gene_chr	gene_tss	gene_tss500bp	is_ubiquitous_uniform	P2PromoterClass
Xkr4	chr1	3671248	3671748	False	False
Rp1	chr1	4408991	4409491	False	False
Sox17	chr1	4497104	4497604	False	False
Mrpl15	chr1	4785489	4785989	True	True
Lypla1	chr1	4807538	4808038	True	True
Gm37988	chr1	4807642	4808142	False	False
Tcea1	chr1	4857564	4858064	False	True
Atp6v1h	chr1	5069768	5070268	False	True
Rgs20	chr1	5070035	5070535	False	False
Oprk1	chr1	5588243	5588743	False	False
Npbwr1	chr1	5917148	5917648	False	False
Rb1cc1	chr1	6214395	6214895	False	True
Alkal1	chr1	6358968	6359468	False	False
St18	chr1	6857091	6857591	False	False
Pcmtd1	chr1	7088670	7089170	False	True
Sntg1	chr1	9298988	9299488	False	False
Rrs1	chr1	9545158	9545658	False	True
Adhfe1	chr1	9547869	9548369	False	False
Vxn	chr1	9600949	9601449	False	False
Mybl1	chr1	9699959	9700459	False	False
Vcpip1	chr1	9748132	9748632	False	True
Sgk3	chr1	9797857	9798357	False	False
Mcmdc2	chr1	9908420	9908920	False	False
Tcf24	chr1	9967682	9968182	False	False
Ppp1r42	chr1	9985442	9985942	False	False
Cops5	chr1	10037877	10038377	True	True
Cspp1	chr1	10037967	10038467	False	True
Arfgef1	chr1	10232420	10232920	False	True
Cpa6	chr1	10719695	10720195	False	True
Prex2	chr1	10993215	10993715	False	False
A830018L16Rik	chr1	11413855	11414355	False	False
Sulf1	chr1	12692027	12692527	False	False
Slco5a1	chr1	12992400	12992900	False	False
Prdm14	chr1	13126913	13127413	False	False
Ncoa2	chr1	13372189	13372689	False	False
Tram1	chr1	13589660	13590160	True	True
Lactb2	chr1	13660296	13660796	False	True
Xkr9	chr1	13668521	13669021	False	True
Eya1	chr1	14231242	14231742	False	False
Msc	chr1	14755740	14756240	False	False
Trpa1	chr1	14918612	14919112	False	False
Kcnb2	chr1	15287004	15287504	False	False
Terf1	chr1	15805396	15805896	False	True
Sbspon	chr1	15892472	15892972	False	False
4930444P10Rik	chr1	16093075	16093575	False	False
Rpl7	chr1	16104412	16104912	False	True
Rdh10	chr1	16105524	16106024	False	False
Stau2	chr1	16519862	16520362	False	True
Ube2w	chr1	16619062	16619562	True	False
Eloc	chr1	16656634	16657134	False	True
Tmem70	chr1	16664960	16665460	False	False
Ly96	chr1	16688183	16688683	False	True
Jph1	chr1	17097639	17098139	False	False
Gdap1	chr1	17145112	17145612	False	True
Pi15	chr1	17601651	17602151	False	False
Crispld1	chr1	17726838	17727338	False	False
Crisp4	chr1	18145652	18146152	False	True
Defb18	chr1	18237193	18237693	False	False
Defb41	chr1	18264888	18265388	False	False
Tfap2d	chr1	19102772	19103272	False	False
Tfap2b	chr1	19208664	19209164	False	False
Pkhd1	chr1	20617814	20618314	False	False
Il17a	chr1	20730655	20731155	False	False
Il17f	chr1	20790367	20790867	False	False
Mcm3	chr1	20820062	20820562	False	False
Paqr8	chr1	20890356	20890856	False	False
Efhc1	chr1	20951438	20951938	False	True
Tram2	chr1	21078979	21079479	False	True
Tmem14a	chr1	21218325	21218825	False	True
Gsta3	chr1	21240339	21240839	False	False
Khdc1a	chr1	21349391	21349891	False	False
Khdc1c	chr1	21368081	21368581	False	False
Khdc1b	chr1	21383306	21383806	False	False
Kcnq5	chr1	21961692	21962192	False	False
Rims1	chr1	22805474	22805974	False	False
Ppp1r14bl	chr1	23102003	23102503	False	False
Ogfrl1	chr1	23397291	23397791	False	False
B3gat2	chr1	23761676	23762176	False	False
Smap1	chr1	23922067	23922567	True	True
Sdhaf4	chr1	24005406	24005906	False	True
Fam135a	chr1	24099944	24100444	False	True
Col9a1	chr1	24177360	24177860	False	False
Col19a1	chr1	24587222	24587722	False	False
Lmbrd1	chr1	24678410	24678910	False	False
Adgrb3	chr1	25825889	25826389	False	False
4931408C20Rik	chr1	26687210	26687710	False	False
Gm597	chr1	28780002	28780502	False	False
Phf3	chr1	30873331	30873831	False	True
Gm5698	chr1	30977718	30978218	False	False
Lgsn	chr1	31176151	31176651	False	False
4931428L18Rik	chr1	31222367	31222867	False	False
Pih1d3	chr1	31222588	31223088	False	False
Khdrbs2	chr1	32172464	32172964	False	False
Gm5415	chr1	32547044	32547544	False	False
Prim2	chr1	33669545	33670045	False	True
Rab23	chr1	33736407	33736907	False	False
Bag2	chr1	33757545	33758045	False	False
Zfp451	chr1	33814176	33814676	True	False
Bend6	chr1	33907566	33908066	False	False
Dst	chr1	33907975	33908475	False	True
Ccdc115	chr1	34439422	34439922	False	True
Imp4	chr1	34439601	34440101	True	False
Ptpn18	chr1	34474249	34474749	False	False
Prss39	chr1	34498160	34498660	False	False
Cfc1	chr1	34535398	34535898	False	False
Prss40	chr1	34560693	34561193	False	False
Amer3	chr1	34579407	34579907	False	False
Fam168b	chr1	34842815	34843315	True	True
Plekhb2	chr1	34849742	34850242	False	True
Hs6st1	chr1	36068150	36068650	False	False
Uggt1	chr1	36244055	36244555	True	True
Neurl3	chr1	36273185	36273685	False	True
Arid5a	chr1	36307519	36308019	False	False
Kansl3	chr1	36368907	36369407	False	True
Fer1l5	chr1	36372041	36372541	False	True
Lman2l	chr1	36445021	36445521	True	True
Cnnm4	chr1	36471370	36471870	False	False
Cnnm3	chr1	36511617	36512117	False	False
Ankrd23	chr1	36536271	36536771	False	False
Gm42417	chr1	36539108	36539608	False	False
Ankrd39	chr1	36546969	36547469	True	False
Sema4c	chr1	36558099	36558599	False	False
Fam178b	chr1	36682933	36683433	False	False
Cox5b	chr1	36691234	36691734	False	True
Actr1b	chr1	36714172	36714672	True	False
4933424G06Rik	chr1	36714288	36714788	False	False
Zap70	chr1	36761548	36762048	False	True
Tmem131	chr1	36939572	36940072	True	True
Vwa3b	chr1	37029083	37029583	False	True
Cnga3	chr1	37218129	37218629	False	False
Inpp4a	chr1	37299641	37300141	False	False
Coa5	chr1	37429853	37430353	True	True
Unc50	chr1	37429920	37430420	True	True
Mgat4a	chr1	37540766	37541266	False	False
2010300C02Rik	chr1	37719835	37720335	False	False
Tsga10	chr1	37864829	37865329	False	True
Lipt1	chr1	37871956	37872456	True	True
Mitd1	chr1	37890157	37890657	True	True
Mrpl30	chr1	37890227	37890727	True	True
Lyg2	chr1	37916243	37916743	False	False
Lyg1	chr1	37957509	37958009	False	False
Txndc9	chr1	37997065	37997565	True	True
Eif5b	chr1	37997760	37998260	False	True
Rev1	chr1	38129412	38129912	False	False
Aff3	chr1	38664705	38665205	False	False
Lonrf2	chr1	38836461	38836961	False	False
Chst10	chr1	38897911	38898411	False	False
Nms	chr1	38938899	38939399	False	False
Pdcl3	chr1	38985358	38985858	False	False
Npas2	chr1	39193962	39194462	False	False
Rpl31	chr1	39367592	39368092	False	False
Tbc1d8	chr1	39478505	39479005	False	True
Cnot11	chr1	39534742	39535242	False	True
Rnf149	chr1	39577155	39577655	False	False
Creg2	chr1	39651224	39651724	False	False
Rfx8	chr1	39720747	39721247	False	False
Gm3646	chr1	39805082	39805582	False	False
Map4k4	chr1	39900663	39901163	False	False
Il1r2	chr1	40084448	40084948	False	True
Il1r1	chr1	40224830	40225330	False	True
Il1rl2	chr1	40324440	40324940	False	False
Il1rl1	chr1	40439377	40439877	False	True
Il18r1	chr1	40465756	40466256	False	False
Il18rap	chr1	40515112	40515612	False	True
Slc9a4	chr1	40579954	40580454	False	False
Slc9a2	chr1	40680324	40680824	False	False
Mfsd9	chr1	40790437	40790937	False	True
Tmem182	chr1	40805351	40805851	False	True
Pou3f3	chr1	42694675	42695175	False	False
Mrps9	chr1	42850983	42851483	True	True
Gpr45	chr1	42952713	42953213	False	False
Tgfbrap1	chr1	43098358	43098858	False	False
AI597479	chr1	43098460	43098960	True	True
Fhl2	chr1	43196734	43197234	False	True
Nck2	chr1	43445501	43446001	False	True
Ecrg4	chr1	43730352	43730852	False	False
Uxs1	chr1	43827550	43828050	False	False
Tpp2	chr1	43933765	43934265	True	True
Mettl21c	chr1	44019756	44020256	False	False
Gm8251	chr1	44079496	44079996	False	False
Tex30	chr1	44102188	44102688	False	True
Poglut2	chr1	44118558	44119058	False	False
Bivm	chr1	44118912	44119412	False	False
Ercc5	chr1	44147597	44148097	True	True
Mettl21e	chr1	44218711	44219211	False	False
Gulp1	chr1	44551261	44551761	False	True
Col3a1	chr1	45311288	45311788	False	False
Col5a2	chr1	45503032	45503532	False	False
Wdr75	chr1	45794916	45795416	True	True
Gm5269	chr1	45890023	45890523	False	False
Slc40a1	chr1	45925332	45925832	False	False
Dnah7b	chr1	46066603	46067103	False	False
Dnah7c	chr1	46425342	46425842	False	False
Slc39a10	chr1	46892602	46893102	False	True
Tmeff2	chr1	50909712	50910212	False	False
