enh_class	quantile	rank	H3K27ac.RPM	DHS.RPM
any	0.01000	160559.00000	0.00000	0.02230
any	0.02000	158937.00000	0.00000	0.04612
any	0.03000	157316.00000	0.00000	0.07146
any	0.04000	155694.00000	0.00000	0.11455
any	0.05000	154072.00000	0.00000	0.16068
any	0.06000	152450.00000	0.00000	0.25141
any	0.07000	150828.00000	0.00000	0.34215
any	0.08000	149207.00000	0.00000	0.38827
any	0.09000	147585.00000	0.00000	0.41814
any	0.10000	145963.00000	0.10236	0.44045
any	0.11000	144341.00000	0.10236	0.45973
any	0.12000	142719.00000	0.10236	0.47901
any	0.13000	141097.00000	0.10236	0.48960
any	0.14000	139476.00000	0.10236	0.50736
any	0.15000	137854.00000	0.10236	0.52362
any	0.16000	136232.00000	0.10236	0.53270
any	0.17000	134610.00000	0.10236	0.55046
any	0.18000	132988.00000	0.10236	0.55652
any	0.19000	131367.00000	0.10236	0.57428
any	0.20000	129745.00000	0.10236	0.58185
any	0.21000	128123.00000	0.20472	0.59961
any	0.22000	126501.00000	0.20472	0.61587
any	0.23000	124879.00000	0.20472	0.62343
any	0.24000	123258.00000	0.20472	0.64271
any	0.25000	121636.00000	0.20472	0.65028
any	0.26000	120014.00000	0.20472	0.66804
any	0.27000	118392.00000	0.20472	0.68581
any	0.28000	116770.00000	0.20472	0.69489
any	0.29000	115149.00000	0.20472	0.71417
any	0.30000	113527.00000	0.20472	0.73193
any	0.31000	111905.00000	0.20472	0.74252
any	0.32000	110283.00000	0.30708	0.76180
any	0.33000	108661.00000	0.30708	0.78108
any	0.34000	107039.00000	0.30708	0.80187
any	0.35000	105418.00000	0.30708	0.81549
any	0.36000	103796.00000	0.30708	0.83326
any	0.37000	102174.00000	0.30708	0.85405
any	0.38000	100552.00000	0.30708	0.87636
any	0.39000	98930.00000	0.30708	0.89715
any	0.40000	97309.00000	0.30708	0.91945
any	0.41000	95687.00000	0.40945	0.94176
any	0.42000	94065.00000	0.40945	0.96558
any	0.43000	92443.00000	0.40945	0.98789
any	0.44000	90821.00000	0.40945	1.01170
any	0.45000	89200.00000	0.40945	1.03704
any	0.46000	87578.00000	0.40945	1.06085
any	0.47000	85956.00000	0.40945	1.08467
any	0.48000	84334.00000	0.51181	1.11152
any	0.49000	82712.00000	0.51181	1.14290
any	0.50000	81090.00000	0.51181	1.17087
any	0.51000	79469.00000	0.51181	1.19923
any	0.52000	77847.00000	0.51181	1.23061
any	0.53000	76225.00000	0.61417	1.26614
any	0.54000	74603.00000	0.61417	1.29601
any	0.55000	72981.00000	0.61417	1.33306
any	0.56000	71360.00000	0.61417	1.37010
any	0.57000	69738.00000	0.61417	1.40905
any	0.58000	68116.00000	0.71653	1.45064
any	0.59000	66494.00000	0.71653	1.49374
any	0.60000	64872.00000	0.71653	1.53683
any	0.61000	63251.00000	0.81889	1.58296
any	0.62000	61629.00000	0.81889	1.63362
any	0.63000	60007.00000	0.81889	1.68731
any	0.64000	58385.00000	0.92125	1.74515
any	0.65000	56763.00000	0.92125	1.79884
any	0.66000	55142.00000	0.92125	1.86122
any	0.67000	53520.00000	1.02361	1.92965
any	0.68000	51898.00000	1.02361	1.99808
any	0.69000	50276.00000	1.12597	2.07256
any	0.70000	48654.00000	1.22833	2.15158
any	0.71000	47032.00000	1.22833	2.23929
any	0.72000	45411.00000	1.33070	2.33608
any	0.73000	43789.00000	1.43306	2.43701
any	0.74000	42167.00000	1.53542	2.54288
any	0.75000	40545.00000	1.63778	2.65401
any	0.76000	38923.00000	1.74014	2.77916
any	0.77000	37302.00000	1.84250	2.90884
any	0.78000	35680.00000	1.94486	3.05590
any	0.79000	34058.00000	2.04722	3.21809
any	0.80000	32436.00000	2.25195	3.39805
any	0.81000	30814.00000	2.35431	3.59465
any	0.82000	29193.00000	2.55903	3.81038
any	0.83000	27571.00000	2.76375	4.03925
any	0.84000	25949.00000	3.07083	4.29974
any	0.85000	24327.00000	3.27556	4.58254
any	0.86000	22705.00000	3.58264	4.89330
any	0.87000	21084.00000	3.99208	5.25579
any	0.88000	19462.00000	4.29917	5.65595
any	0.89000	17840.00000	4.81098	6.12352
any	0.90000	16218.00000	5.32278	6.66378
any	0.91000	14596.00000	5.93695	7.29478
any	0.92000	12974.00000	6.65348	8.03428
any	0.93000	11353.00000	7.47236	8.93860
any	0.94000	9731.00000	8.49598	9.99038
any	0.95000	8109.00000	9.82667	11.29547
any	0.96000	6487.00000	11.46445	12.93364
any	0.97000	4865.00000	13.92112	15.27001
any	0.98000	3244.00000	17.19668	18.77118
any	0.99000	1622.00000	23.74779	25.00479
any	0.99100	1460.00000	24.87376	25.94852
any	0.99200	1297.00000	26.20446	27.03993
any	0.99300	1135.00000	27.63752	28.25803
any	0.99400	973.00000	29.58238	29.87785
any	0.99500	811.00000	31.43511	31.73635
any	0.99600	649.00000	34.49571	34.44418
any	0.99700	487.00000	38.18071	37.71519
any	0.99800	324.00000	43.40113	42.21771
any	0.99900	162.00000	52.49285	52.44549
any	0.99910	146.00000	54.15684	53.83575
any	0.99920	130.00000	55.47975	55.97378
any	0.99930	114.00000	58.14114	58.80744
any	0.99940	97.00000	60.78656	62.04215
any	0.99950	81.00000	63.24999	65.41193
any	0.99960	65.00000	67.46911	69.02984
any	0.99970	49.00000	71.45198	73.78679
any	0.99980	32.00000	79.92564	83.96843
any	0.99990	16.00000	91.95574	101.13218
promoter	0.01000	27949.00000	0.00000	0.00000
promoter	0.02000	27666.00000	0.00000	0.00000
promoter	0.03000	27384.00000	0.00000	0.00000
promoter	0.04000	27102.00000	0.00000	0.02230
promoter	0.05000	26819.00000	0.00000	0.02231
promoter	0.06000	26537.00000	0.00000	0.02231
promoter	0.07000	26255.00000	0.00000	0.02382
promoter	0.08000	25973.00000	0.00000	0.02382
promoter	0.09000	25690.00000	0.00000	0.04461
promoter	0.10000	25408.00000	0.00000	0.04612
promoter	0.11000	25126.00000	0.00000	0.04612
promoter	0.12000	24843.00000	0.00000	0.04764
promoter	0.13000	24561.00000	0.00000	0.06692
promoter	0.14000	24279.00000	0.00000	0.06843
promoter	0.15000	23996.00000	0.00000	0.06843
promoter	0.16000	23714.00000	0.00000	0.06994
promoter	0.17000	23432.00000	0.10236	0.07146
promoter	0.18000	23149.00000	0.10236	0.09073
promoter	0.19000	22867.00000	0.10236	0.09225
promoter	0.20000	22585.00000	0.10236	0.09225
promoter	0.21000	22302.00000	0.10236	0.09376
promoter	0.22000	22020.00000	0.10236	0.11304
promoter	0.23000	21738.00000	0.10236	0.11455
promoter	0.24000	21456.00000	0.10236	0.11607
promoter	0.25000	21173.00000	0.10236	0.13535
promoter	0.26000	20891.00000	0.10236	0.13837
promoter	0.27000	20609.00000	0.10236	0.13989
promoter	0.28000	20326.00000	0.20472	0.15916
promoter	0.29000	20044.00000	0.20472	0.16219
promoter	0.30000	19762.00000	0.20472	0.18298
promoter	0.31000	19479.00000	0.20472	0.18601
promoter	0.32000	19197.00000	0.20472	0.20680
promoter	0.33000	18915.00000	0.20472	0.22911
promoter	0.34000	18632.00000	0.20472	0.25293
promoter	0.35000	18350.00000	0.20472	0.27826
promoter	0.36000	18068.00000	0.30708	0.32136
promoter	0.37000	17786.00000	0.30708	0.36899
promoter	0.38000	17503.00000	0.30708	0.41814
promoter	0.39000	17221.00000	0.30708	0.48506
